Lake,Age (yr),Age,Depth,Botryoccocus,Pediastrum,Volvocales,total pollen and algae sum,total pollen sum
Btoko Lake,108,0.108,1,15,,,388,373
Btoko Lake,278,0.278,2,13,,,416,403
Btoko Lake,619,0.619,4,16,0,,562,546
Btoko Lake,907,0.907,6,21,,,405,383
Btoko Lake,1130,1.13,8,15,,,453,438
Btoko Lake,1355,1.355,10,15,2,,407,390
Btoko Lake,1636,1.636,12,14,,,393,379
Btoko Lake,2310,2.31,16,13,,,405,392
Btoko Lake,3370,3.37,20,5,,,371,366
Btoko Lake,4463,4.463,24,16,,,459,443
Btoko Lake,5331,5.331,28,10,,,460,450
Btoko Lake,5701,5.701,30,6,,,491,485
Btoko Lake,6081,6.081,32,2,,,395,393
Btoko Lake,6879,6.879,36,4,1,,394,389
Btoko Lake,7676,7.676,40,11,,,356,345
Btoko Lake,8413,8.413,44,4,1,,438,433
Btoko Lake,8983,8.983,48,5,,,474,469
Btoko Lake,9364,9.364,52,4,,,445,441
Btoko Lake,9517,9.517,56,12,,,509,496
Btoko Lake,9621,9.621,60,2,,,404,402
Btoko Lake,9883,9.883,64,3,,,439,436
Btoko Lake,10160,10.16,68,1,,,426,424
Btoko Lake,10444,10.444,72,7,,,414,407
Btoko Lake,10581,10.581,74,5,,,442,437
Btoko Lake,10720,10.72,76,5,,,437,432
Btoko Lake,10875,10.875,78,9,1,,461,451
Btoko Lake,11016,11.016,80,11,1,,311,298
Btoko Lake,11155,11.155,82,8,,,239,230
Btoko Lake,11287,11.287,84,,,,19,19
Btoko Lake,11426,11.426,86,6,1,,312,305
Btoko Lake,11526,11.526,87.5,35,,,269,233
Btoko Lake,11564,11.564,88,,,,11,11
Btoko Lake,11674,11.674,89.5,17,,,279,261
Btoko Lake,11713,11.713,90,8,,,384,374
Btoko Lake,11826,11.826,91.5,7,,,227,220
Btoko Lake,11864,11.864,92,,,,13,13
Btoko Lake,12021,12.021,94,1,,,9,8
Btoko Lake,12165,12.165,96,6,,,199,192
Btoko Lake,12754,12.754,104,4,1,,283,277
Btoko Lake,12891,12.891,106,,,,33,33
Btoko Lake,13598,13.598,116,,,,179,179
Btoko Lake,14301,14.301,126,1,,,288,287
Btoko Lake,15022,15.022,136,,,,215,215
Btoko Lake,15705,15.705,146,,,,148,147
Btoko Lake,16641,16.641,156,1,,,244,243
Btoko Lake,17779,17.779,166,,,,69,69
Btoko Lake,18914,18.914,176,,,,65,65
Btoko Lake,20051,20.051,186,3,,,261,258
Btoko Lake,21215,21.215,196,4,,,309,305
Btoko Lake,22356,22.356,206,2,,,302,300
Btoko Lake,23506,23.506,216,,,,414,414
Btoko Lake,24658,24.658,226,2,,,309,307
Btoko Lake,25823,25.823,236,5,,,401,396
Btoko Lake,26965,26.965,246,,,,327,327
Btoko Lake,27732,27.732,256,1,,,305,304
Btoko Lake,28252,28.252,266,1,,,280,279
