Lake,Age,Asteraceae,Betulaceae,Brassicaceae,Caryophyllaceae,Chenopodiaceae,Cyperaceae,Dryopteridaceae,Ericaceae,Fabaceae,Lentibulariaceae,Onagraceae,Orchidaceae,Orobanchaceae,Papaveraceae,Pinaceae,Plantaginaceae,Poaceae,Polygonaceae,Ranunculaceae,Rosaceae,Salicaceae,Saxifragaceae,Lycopodiaceae,Apiaceae,Equisetaceae,Athyriaceae,Grossulariaceae,Polygalaceae
Ilirney,0.1,2.850653927,2.850653927,0.30934294,0.215365338,0.125303469,4.138930222,0.019578667,6.163364398,1.632860835,0.270185606,0.524708278,0.113556269,1.029837889,0.411152009,0.650011747,0.563865612,3.081682199,0.626517347,0.418983476,4.589239565,64.50779231,1.327433628,0,0,0,0,0,0
Ilirney,1.6,1.770287495,2.223481093,0.693952698,1.217957796,0.311570599,3.38478969,0.0141623,7.307746778,2.251805693,1.501203795,0.467355899,0.254921399,1.317093896,0.269083699,0.269083699,0.481518199,5.608270783,0.311570599,0.679790398,2.804135392,57.72553463,1.501203795,0,0,0,0,0,0
Ilirney,2.9,1.569069839,3.363757563,0.148702697,0.169213414,0.051276792,2.897138755,0,7.48641165,1.492154651,0.45636345,0.538406317,0.056404471,0.907599221,0.199979489,0.461491129,0.184596452,5.071274741,0.333299149,0.297405394,3.133011999,67.74689775,0.497384884,0,0,0,0,0,0
Ilirney,6.3,0.627973359,11.51284491,0.275927688,0.837297812,0.047573739,3.292102759,0.152235966,8.48715509,1.084681256,1.132254995,0.161750714,0.028544244,0.647002854,0.275927688,0.333016175,1.046622265,4.57659372,0.323501427,0.076117983,2.064700285,58.93434824,0.53282588,0,0,0,0,0,0
Ilirney,9.2,2.472670484,12.10307132,0.989068194,1.509630401,0.624674649,9.578344612,4.528891202,2.238417491,3.409682457,1.978136387,0.260281104,0.598646538,0.390421655,0.390421655,0.078084331,0.780843311,6.897449245,0.442477876,0.312337324,3.409682457,24.25819885,0.7548152,0,0,0,0,0,0
Ilirney,10.2,0.905745825,15.14293801,0.76422304,0.877441268,0.169827342,6.736484574,1.52844608,2.971978489,2.09453722,2.85876026,0.28304557,0.198131899,0.141522785,0.339654684,0.056609114,0.424568356,20.15284461,0.141522785,0.367959241,2.57571469,29.3801302,0.452872913,0,0,0,0,0,0
Ilirney,11.6,0.778985507,12.24637681,0.670289855,0.597826087,0.597826087,1.43115942,13.56884058,1.050724638,1.721014493,2.22826087,0.18115942,0.289855072,0.344202899,0.289855072,0.054347826,0.163043478,3.550724638,0.144927536,0.307971014,1.775362319,17.01086957,0.670289855,0,0,0,0,0,0
Ilirney,13.2,1.552595315,7.037207166,0.661460726,0.97381718,0.358291226,1.341295361,2.177308222,6.881028939,1.993569132,0.808451998,0.174552136,0.257234727,0.202113,1.047312816,0.018373909,0.496095544,3.344051447,0.257234727,0.211299954,4.115755627,55.69131833,0.955443271,0,0,0,0,0,0
Ilirney,15.9,0.801856932,5.802912007,1.322360554,0.633044946,0.091439826,0.886262925,0.035169164,1.716255187,2.166420483,1.681086024,0.161778153,0.140676655,0.30948864,1.842864177,0.007033833,0.837026096,7.716114511,0.175845818,0.133642822,7.582471689,60.11113456,0.893296757,0,0,0,0,0,0
Ilirney,19.9,2.154236061,2.099927589,2.570601014,1.303403331,0.09051412,4.380883418,0,0.687907314,3.186097031,1.484431571,0.018102824,0.108616944,0.615496017,10.17378711,0.018102824,0.325850833,15.09775525,0.615496017,0.633598841,14.59087618,29.65242578,3.530050688,0,0,0,0,0,0
Ilirney,28,1.544804551,0.083502949,1.831845937,0.257032514,0.003914201,0.878085695,0.001304734,0.083502949,1.770523459,0.076979281,0.043056208,0.005218934,0.422733678,6.064401649,0.007828401,0.083502949,5.158916549,0.27007985,0.138301759,9.033975262,8.351599603,61.9774542,0,0,0,0,0,0
Ilirney,31,1.469237833,0.367309458,4.04040404,3.856749311,0.459136823,1.836547291,0,0.183654729,3.122130395,2.203856749,0.183654729,0.642791552,1.101928375,2.295684114,13.31496786,1.285583104,11.29476584,0.459136823,0.550964187,4.866850321,5.23415978,9.366391185,0,0,0,0,0,0
Ilirney,35.1,3.03030303,0.151515152,2.121212121,1.666666667,0.606060606,1.818181818,0,0.606060606,4.242424242,1.363636364,0.151515152,10.45454545,0.303030303,4.545454545,0.757575758,0.909090909,22.57575758,0.303030303,0.454545455,2.424242424,4.545454545,0.757575758,0,0,0,0,0,0
Ilirney,42,2.340918024,0.956457178,4.467834214,1.157356859,0.052408612,2.052670656,0.017469537,0.79923134,5.096737564,2.891208455,0.794863956,0.065510766,1.336419618,4.105341311,0.043673844,1.528584531,5.577149845,0.532820894,0.200899681,29.38376206,18.01546054,5.826090754,0,0,0,0,0,0
Ilirney,45.3,2.428997536,0.905200363,3.471663857,1.011541953,0.014265335,1.627545065,0.020749579,0.964855401,3.763454805,0.308649981,0.302165737,0.016859033,1.143820516,5.285955129,0.175074569,0.41499157,3.613020361,0.488911944,0.178965115,26.84606406,20.03371807,24.42095707,0,0,0,0,0,0
Ilirney,54.6,2.691687992,1.923988248,5.84778694,0.805610843,1.137332954,2.426310302,0.056866648,1.165766278,4.928442802,0.483366506,0.388588759,0.056866648,1.099421856,7.629608568,0.142166619,0.815088617,4.900009478,0.824566392,0.227466591,22.32015923,25.33409156,6.198464601,0,0,0,0,0,0
Salmon,0.163,1.086398259,0.194559304,0.06398259,0,0,3.874646355,0,5.441566921,0.364309032,0,1.794559304,0,0.291186072,1.213492927,0,0.363873776,0.455277476,0.367791077,0.742546246,12.6359086,67.87203482,1.550380849,0.02437432,0,0,0,0,0
Salmon,0.602,0.469461327,0.117483763,0.033318648,0,0,2.408417143,0,9.921219557,9.740414572,0,0.182857793,0,0.177173094,0.778487839,0,0.088902364,0.108798807,0.743274291,0.164540432,41.88122455,24.83013016,7.454850074,0.00457934,0,0,0,0,0
Salmon,1.094,1.252799384,0.244419293,0.085486551,0,0,2.874033761,0,6.785946493,0.57673321,0,0.925903629,0,0.234184988,1.093264623,0,1.471933923,1.088448479,0.40816818,0.629710791,35.46849038,42.2050714,1.358754545,0.059599778,0,0,0,0,0
Salmon,2.515,0.926216373,0.304442872,0.011915096,0,0,1.246708151,0,5.820159857,0.712230968,0,0.465418256,0,0.066384109,0.218605545,0,0.341647153,0.339701831,0.139090513,0.231979632,54.97795707,30.14811194,3.276165187,0.02601868,0,0,0,0,0
Salmon,3.622,0.52634468,0.18266539,2.029750977,0,0,1.693085551,0,3.523398857,0.321722849,0,0.480907045,0,0.098499033,0.528784284,0,0.623928861,0.223528766,0.160708949,0.463524863,35.922262,51.24328346,0.373259495,0.075627741,0,0,0,0,0
Salmon,3.851,0.932155003,0.511381973,0.150187424,0,0,1.650199836,0,6.006255741,4.675669637,0,0.817342303,0,0.142740114,1.001663233,0,0.556065834,1.713501974,0.268723779,0.55172157,19.2463322,58.57123352,0.7428692,0.13032793,0,0,0,0,0
Salmon,6.876,0.727680306,0.200571873,0.078771306,0,0,1.444950308,0,15.16226195,0.417800233,0,0.848092832,0,0.152684471,2.14070568,0,0.292876575,0.318555327,0.30224585,0.397326634,29.21166232,45.05510521,1.156584865,0.10722614,0,0,0,0,0
Salmon,7.489,0.513494896,0.30326615,0.059937558,0,0,0.795290876,0,8.366656826,0.349784851,0,0.350679441,0,0.158342503,0.68391437,0,0.294767541,0.571643273,0.403012981,0.688387322,48.72252489,34.1299661,1.863431828,0.159237093,0,0,0,0,0
Salmon,8.48,0.87664113,0.426267484,0.062911201,0,0,1.259399933,0,5.460339485,0.459192973,0,0.70084254,0,0.368059924,2.102527619,0,0.422151798,0.400397458,0.394517906,0.435674767,30.81825718,51.24205526,2.344177186,0.114063299,0,0,0,0,0
Salmon,9.928,0.517604928,0.698130654,0.031799925,0,0,0.596860124,0,2.797414911,15.97579292,0,0.41437748,0,0.937853163,0.857130277,0,0.264183989,0.381599096,0.515648009,0.234830213,15.17639174,57.14739999,0.408995954,0.345885334,0,0,0,0,0
Salmon,10.175,0.510186928,0.451351533,0.034460732,0,0,0.548009683,0,3.623419849,0.195837816,0,0.461437601,0,0.073964497,0.254673211,0,0.529518558,0.395037655,0.145407477,0.23366057,22.42385019,64.18941635,0.217690963,1.349011565,0,0,0,0,0
Salmon,10.282,0.404048329,0.244521157,0.013075998,0,0,0.369396935,0,2.005204247,0.413201527,0,0.778675663,0,0.036612794,0.176525969,0,0.274595952,1.459935143,0.190255767,0.155604373,19.52442596,65.05243475,0.34324494,1.920210262,0,0,0,0,0
Salmon,10.985,0.2525277,0.231200985,0.023750206,0,0,0.218114137,0,1.172484659,0.720746047,0,0.337834563,0,0.06834243,0.133291972,0,0.190001648,0.313599659,0.079975183,0.291788245,22.40226063,66.43611195,0.161404461,1.979022267,0,0,0,0,0
Salmon,11.919,0.242768544,0.458999636,0.036366138,0,0,0.636243607,0,2.416218642,0.562200839,0,0.231629367,0,0.114340381,0.298464432,0,0.038004253,0.244079036,0.383318754,0.163811433,64.80642403,26.88014573,0.213610109,0.143498816,0,0,0,0,0
Salmon,12.56,0.606773245,0.829243111,0.083170134,0,0,1.166430403,0,6.373372447,0.21796311,0,0.485500537,0,0.181909062,0.821458714,0,0.379796622,0.321618499,0.273683003,0.372421931,15.71587771,66.3185539,4.276911479,0.055719893,0,0,0,0,0
Salmon,13.056,0.313563525,1.035678019,0.060613535,0,0,1.036727604,0,3.59587828,0.552868909,0,0.253212386,0,0.143268355,0.753339648,0,0.081605235,0.115979145,0.188925304,0.15271462,64.30623742,25.89431204,0.659926582,0.020729304,0,0,0,0,0
Salmon,13.847,0.574990077,0.65222755,0.07616473,0,0,1.113506903,0,1.89660906,0.542807797,0,0.565335393,0,0.282131325,0.62433624,0,0.719810339,0.2638947,0.325041032,0.181293513,49.93295358,39.06821571,0.326113775,0.06007359,0,0,0,0,0
