Number;Core;Lake;Library number;Extraction number;Age ;Depth;Concentration before Genejet;Concentration after Genejet;Library concentration;Average read length of sample;Total concentration;Concentration of pool;Dilution concentration before sequencing 2 ;Molecular weight nucleotide;DNA ;Dry Bulk Density;Water content ;TOC;C_N;Sediment Rate;PC1;PC2;Pann;TJul
1;Ilirney Lake (EN18208);Ilirney Lake;JK097L-3;ESH086;0,1;1;3,93042191;53,1;61,3;82;309,2055485;13;2;325;2,768;0,34635;70,02207123;2,205;13,64219083;0,015251179;-0,288184074;-0,330330457;210,0364622;11,79603839
1;Ilirney Lake (EN18208);Ilirney Lake;JK097L-2;ESH087;1,6;11,5;1,461880089;19,75;66,2;80;349,986783;13;2;325;2,253;0,369366667;69,34419653;1,563;9,961273197;0,015331291;-0,332391892;-0,214105157;223,9127459;12,82070996
1;Ilirney Lake (EN18208);Ilirney Lake;JK097L-4;ESH088;2,9;23;0,995558845;13,45;18,35;79;103,7895928;13;2;325;1,886;0,429950833;66,60698236;1,25615;8,824182289;0,016187376;-0,331533288;-0,351647844;204,6728804;12,0359177
1;Ilirney Lake (EN18208);Ilirney Lake;JK098L-6;ESH102;6,3;58;1,813471503;24,5;103;87;240,6052963;13;2;325;3,104;0,499663333;63,8944805;1,0769;7,921189589;0,018183306;-0,408797076;-0,263130254;217,1467051;12,96063544
1;Ilirney Lake (EN18208);Ilirney Lake;JK098L-7;ESH111;9,2;97;2,11;22,3;120,5;84;543,65;13;2;325;3,408;0,491174167;61,9108611;0,76085;6,521611296;0,019274091;-0,283028234;-0,098552675;216,5773932;13,2089112
1;Ilirney Lake (EN18208);Ilirney Lake;JK098L-4;ESH093;10,2;109;0,866025167;11,7;98,5;82;464,84;13;2;325;2,73;0,462054167;63,83960193;0,8525;6,607832825;0,015063254;-0,421595053;0,008180422;204,9452615;12,81293113
1;Ilirney Lake (EN18208);Ilirney Lake;JK098L-5;ESH094;11,6;127;0,185048113;2,5;88,1;82;435,81;13;2;325;1,585;0,590234167;57,03401129;0,76455;6,158992242;0,015309229;-0,361180226;-0,068037477;210,0771895;11,2190323
1;Ilirney Lake (EN18208);Ilirney Lake;JK097L-6;ESH076;13,2;150;0,629903775;8,51;47,7;75;240,6052963;13;2;325;4,806;0,577104167;55,81700295;0,7163;5,458054024;0,011344477;-0,318778972;-0,184276347;235,9515272;9,777405295
1;Ilirney Lake (EN18208);Ilirney Lake;JK099L-1;ESH122;15,9;172,5;0,276;4,4;72,7;77;363,14;13;2;325;2,545;0,70659;51,79855527;0,5071;4,368518762;0,010083603;-0,167130634;-0,053839969;231,3486492;10,21786848
1;Ilirney Lake (EN18208);Ilirney Lake;JK098L-3;ESH082;19,9;198,5;0,29311621;3,96;126;84;659,34;13;2;325;3,703;0,76091;46,99925934;0,09;1;0,008139706;0,126791629;0,260957383;223,3582372;9,31772417
1;Ilirney Lake (EN18208);Ilirney Lake;JK098L-2;ESH067;28;367,5;0,182457439;2,465;79,4;83;436,26;13;2;325;3,377;1,226423333;33,227913;0,09;1;0,122938331;0,307876828;0,24993513;252,2188456;11,48804942
1;Ilirney Lake (EN18208);Ilirney Lake;JK099L-2;ESH129;31;750;0,009;1,7;78,3;77;447,81;13;2;325;3,7;0,92118;49,92231053;0,3845;4,272113368;0,134844098;0,002928666;0,390886595;277,0759315;10,97794181
1;Ilirney Lake (EN18208);Ilirney Lake;JK099L-3;ESH133;35,1;892;0,327;4,4;96,8;80;435,45;13;2;325;4,47;0,730188889;45,50893253;0,09;1;0,031081471;0,050191095;0,447768924;283,8497998;10,7489565
1;Ilirney Lake (EN18208);Ilirney Lake;JK099L-4;ESH139;42;982,5;0,12;1,9;37,3;82;197,88;13;2;325;6,27;1,604106667;30,69119973;0,09;1;0,03088665;0,286564679;-0,219737441;287,6965762;10,69329737
1;Ilirney Lake (EN18208);Ilirney Lake;JK099L-5;ESH142;45,3;1006,5;0,009;1,6;23,4;78;126,32;13;2;325;5,3;1,615058333;32,63837787;0,09;1;0,030997091;0,312210794;-0,074963367;288,6653973;10,66227779
1;Ilirney Lake (EN18208);Ilirney Lake;JK099L-6;ESH154;54,6;1075;0,638;6,1;60,3;83;265,05;13;2;325;6,52;1,906683333;15,58928347;0,09;1;0,031371321;0,304643373;-0,097644594;291,3251422;10,65453081
2;Salmon Lake (EN22502);Salmon Lake ;HS033L-6;EJF109;0,207;23;8,845299778;119,5;19;86;77,5351969;13;2;325;2,989;1,261941765;30,6002;2,032828694;9,236530928;0,055555556;-0,331479014;-0,165788892;324,386736;10,30021851
2;Salmon Lake (EN22502);Salmon Lake ;HS034L-1;EJF107;0,573;43;8,327165063;112,5;26,3;81;115,6043956;13;2;325;3,394;1,324783686;32,4726;2,143803417;9,315719921;0,037037037;0,100278069;-0,280508761;289,2867824;10,3244676
2;Salmon Lake (EN22502);Salmon Lake ;JK157L-2;ESF036;1,18;63;2,37;30,4;74,8;87;263,937897;13;2;325;3,621;1,387625607;34,345;2,254778139;9,394908913;0,083333333;-0,302729118;-0,045521969;254,1868288;10,34871668
2;Salmon Lake (EN22502);Salmon Lake ;JK157L-3;ESF034;2,498;158;3,82;40,4;107,5;88;388,2267967;13;2;325;6,196;1,435530885;34,5058;2,612795459;9,454551806;0,071428571;-0,169833775;-0,152261918;300,467103;10,54057111
2;Salmon Lake (EN22502);Salmon Lake ;HS034L-3;ESF033;3,655;208;2,69;29;36,3;87;139,2672166;13;2;325;4,617;1,410865159;34,0126;2,277940651;9,040108031;0,083333333;-0,215746521;-0,007064583;359,4436804;10,3277151
2;Salmon Lake (EN22502);Salmon Lake ;JK157L-4;ESF031;3,773;308;4,32;40,5;140;89;499,7322863;13;2;325;6,711;1,284524156;29,1869;2,124432625;8,147299587;0,05;-0,320609939;-0,008680073;243,9625952;9,95336377
2;Salmon Lake (EN22502);Salmon Lake ;HS032L-3;ESF027;3,852;460;1,325;12,05;46,5;86;184,3774782;13;2;325;3,436;1,149355244;25,91884615;1,566670342;9,247376025;0,066666667;-0,273958008;-0,231621315;320,6603209;10,24346571
2;Salmon Lake (EN22502);Salmon Lake ;JK157L-5;ESF026;6,859;510;0,92;10,75;131,5;89;520,0711885;13;2;325;2,983;1,448271123;30,83744;1,688134186;8,59187976;0,090909091;-0,263475521;-0,115466607;201,4240943;10,96872746
2;Salmon Lake (EN22502);Salmon Lake ;HS032L-2;ESF025;7,576;555;1,925;21,6;64,4;83;271,4436249;13;2;325;6,945;1,897510031;30,32586;1,550055937;8,792097024;0,033333333;-0,234970605;-0,126445846;251,2883079;9,626172107
2;Salmon Lake (EN22502);Salmon Lake ;HS032L-1;ESF024;8,471;650;1,415;15,7;35,4;86;156,4986737;13;2;325;4,76;1,433768648;33,21352941;2,507723614;8,641412975;0,045454545;-0,153320139;-0,227226405;265,5597737;10,11243632
2;Salmon Lake (EN22502);Salmon Lake ;HS033L-4;EJF095;9,9;630;4,07;53,8;36,1;82;174,6492501;13;2;325;3,338;1,664841621;33,51156863;1,907860586;8,140447813;0,090909091;-0,434657579;-0,104576161;262,984213;10,24223379
2;Salmon Lake (EN22502);Salmon Lake ;JK157L-6;ESF023;10,248;655;2,67;40,6;125;88;521,1590577;13;2;325;4,513;1,376000405;33,13901961;2,657689371;8,766654265;0,045454545;-0,347535374;-0,035788806;266,2036638;10,07998695
