species,bacdive_url,isolation_categories,pH_optimum,aquatic_samples,soil_samples,animal_samples,plant_samples,Total_Samples,total_n,r_terr,r_aqua,r_anim,r_plant,tas_score_raw,habitat_label,tas_score
Nitrososphaera viennensis,https://bacdive.dsmz.de/strain/24819,"#Environmental, #Terrestrial, #Soil, #Engineered, #Agriculture, #Garden",NA,1057,8092,237,1059,10445,10445,0.7747247486835807,0.10119674485399711,0.02269028243178554,0.10138822403063669,0.7689364949140298,Terrestrial Specialist,0.7689364949140298
Methanosarcina mazei,https://bacdive.dsmz.de/strain/7096,"#Engineered, #Industrial, #Plant (Factory), #Engineered, #Waste, #Sewage sludge",NA,3372,2215,684,931,7202,7202,0.307553457372952,0.4682032768675368,0.0949736184393224,0.12926964732018884,-0.20708788231762185,Terrestrial Specialist,-0.20708788231762185
Nitrosopumilus piranensis,https://bacdive.dsmz.de/strain/158487,"#Environmental, #Terrestrial, #Coast, #Environmental, #Aquatic, #Surface water",7.1,3053,75,2,3,3133,3133,0.02393871688477497,0.97446536865624,6.383657835939994e-4,9.57548675390999e-4,-0.9520460348520589,Aquatic Specialist,-0.9520460348520589
Methanothrix soehngenii,https://bacdive.dsmz.de/strain/7045,"#Engineered, #Waste, #Sewage sludge, #Condition, #Anoxic (anaerobic)",NA,1947,587,42,172,2748,2748,0.2136098981077147,0.7085152838427947,0.01528384279475982,0.06259097525473072,-0.5367008676105549,Generalist / Mixed,-0.5367008676105549
Methanobacterium paludis,https://bacdive.dsmz.de/strain/24155,"#Environmental, #Terrestrial, #Soil, #Environmental, #Terrestrial, #Wetland (Swamp)",NA,1208,279,93,190,1770,1770,0.1576271186440678,0.6824858757062147,0.05254237288135593,0.10734463276836158,-0.6247478136477446,Terrestrial Specialist,-0.6247478136477446
Methanosphaerula palustris,https://bacdive.dsmz.de/strain/17855,"#Environmental, #Terrestrial, #Wetland (Swamp)",NA,534,268,1,54,857,857,0.31271878646441076,0.6231038506417736,0.00116686114352392,0.06301050175029171,-0.33167082258822705,Generalist / Mixed,-0.33167082258822705
Methanospirillum hungatei,https://bacdive.dsmz.de/strain/7132,"#Engineered, #Waste, #Sewage sludge",NA,628,36,20,86,770,770,0.04675324675324675,0.8155844155844156,0.02597402597402597,0.11168831168831168,-0.8915662640263463,Terrestrial Specialist,-0.8915662640263463
Methanobacterium lacus,https://bacdive.dsmz.de/strain/6956,"#Environmental, #Aquatic, #Lake (large), #Environmental, #Aquatic, #Sediment, #Condition, #Psychrophilic (<10°C)",6.5,319,375,6,20,720,720,0.5208333333333334,0.44305555555555554,0.00833333333333333,0.02777777777777777,0.08069164256758221,Generalist / Mixed,0.08069164256758221
Halogranum gelatinilyticum,https://bacdive.dsmz.de/strain/161775,NA,NA,610,98,3,3,714,714,0.13725490196078433,0.8543417366946778,0.0042016806722689,0.0042016806722689,-0.7231638410786172,Generalist / Mixed,-0.7231638410786172
Methanospirillum lacunae,https://bacdive.dsmz.de/strain/7136,"#Environmental, #Aquatic, #Environmental, #Terrestrial, #Soil",7.5,546,95,17,23,681,681,0.1395007342143906,0.801762114537445,0.02496328928046989,0.03377386196769456,-0.7035881427782473,Generalist / Mixed,-0.7035881427782473
Halosegnis longus,https://bacdive.dsmz.de/strain/166625,NA,NA,504,112,35,5,656,656,0.17073170731707318,0.7682926829268293,0.05335365853658536,0.00762195121951219,-0.6363636356859503,Generalist / Mixed,-0.6363636356859503
Halosegnis rubeus,https://bacdive.dsmz.de/strain/166779,NA,NA,504,112,35,5,656,656,0.17073170731707318,0.7682926829268293,0.05335365853658536,0.00762195121951219,-0.6363636356859503,Generalist / Mixed,-0.6363636356859503
Methanospirillum stamsii,https://bacdive.dsmz.de/strain/24171,"#Engineered, #Bioreactor, #Engineered, #Waste, #Activated sludge, #Condition, #Anoxic (anaerobic)",7,450,17,25,75,567,567,0.02998236331569664,0.7936507936507936,0.04409171075837742,0.13227513227513227,-0.9271948596879668,Terrestrial Specialist,-0.9271948596879668
Salinigranum halophilum,https://bacdive.dsmz.de/strain/163752,NA,NA,452,80,1,1,534,534,0.149812734082397,0.846441947565543,0.00187265917602996,0.00187265917602996,-0.699248119598875,Generalist / Mixed,-0.699248119598875
Salinigranum rubrum,https://bacdive.dsmz.de/strain/161941,NA,NA,461,52,1,2,516,516,0.1007751937984496,0.8934108527131783,0.00193798449612403,0.00387596899224806,-0.7972709543637587,Generalist / Mixed,-0.7972709543637587
Methanolinea mesophila,https://bacdive.dsmz.de/strain/17854,"#Engineered, #Agriculture, #Field, #Environmental, #Terrestrial, #Soil, #Host, #Plants, #Herbaceous plants (Grass,Crops)",7,249,221,4,16,490,490,0.4510204081632654,0.5081632653061224,0.00816326530612245,0.0326530612244898,-0.0595744680229968,Generalist / Mixed,-0.0595744680229968
Methanomethylovorans hollandica,https://bacdive.dsmz.de/strain/7053,"#Environmental, #Aquatic, #Freshwater, #Environmental, #Aquatic, #Pond (small), #Environmental, #Aquatic, #Sediment, #Condition, #Anoxic (anaerobic)",NA,368,45,1,18,432,432,0.10416666666666669,0.8518518518518519,0.00231481481481481,0.04166666666666666,-0.782082323637144,Generalist / Mixed,-0.782082323637144
Methanobacterium aggregans,https://bacdive.dsmz.de/strain/132210,"#Engineered, #Industrial, #Plant (Factory), #Environmental, #Terrestrial, #Mud (Sludge), #Host, #Plants, #Herbaceous plants (Grass,Crops), #Host Body Product, #Gastrointestinal tract, #Feces (Stool)",NA,313,25,25,24,387,387,0.06459948320413436,0.8087855297157622,0.06459948320413436,0.06201550387596899,-0.8520710049415637,Aquatic Specialist,-0.8520710049415637
Haloarchaeobius amylolyticus,https://bacdive.dsmz.de/strain/162272,NA,NA,243,54,5,2,304,304,0.17763157894736842,0.7993421052631579,0.01644736842105263,0.00657894736842105,-0.6363636357122742,Generalist / Mixed,-0.6363636357122742
Halococcus salsus,https://bacdive.dsmz.de/strain/159820,"#Environmental, #Terrestrial, #Geologic, #Condition, #Saline",7.5,277,13,8,2,300,300,0.04333333333333333,0.9233333333333332,0.02666666666666667,0.00666666666666666,-0.9103448266444708,Aquatic Specialist,-0.9103448266444708
Halorientalis brevis,https://bacdive.dsmz.de/strain/162236,NA,NA,199,77,16,8,300,300,0.25666666666666665,0.6633333333333333,0.05333333333333334,0.02666666666666667,-0.4420289850267802,Generalist / Mixed,-0.4420289850267802
Methanocella paludicola,https://bacdive.dsmz.de/strain/17667,"#Engineered, #Agriculture, #Field, #Environmental, #Terrestrial, #Soil, #Host, #Plants, #Herbaceous plants (Grass,Crops)",7,70,165,4,54,293,293,0.5631399317406144,0.2389078498293515,0.0136518771331058,0.18430034129692832,0.40425531864490727,Terrestrial Specialist,0.40425531864490727
Halorussus halophilus,https://bacdive.dsmz.de/strain/163753,NA,7,183,83,16,8,290,290,0.28620689655172415,0.6310344827586207,0.05517241379310345,0.02758620689655172,-0.3759398492142009,Generalist / Mixed,-0.3759398492142009
Methanobacterium subterraneum,https://bacdive.dsmz.de/strain/6943,"#Environmental, #Aquatic, #Groundwater",NA,222,32,13,20,287,287,0.11149825783972124,0.7735191637630662,0.04529616724738676,0.06968641114982578,-0.7480314952177755,Generalist / Mixed,-0.7480314952177755
