species,tas_score,habitat_label,total_n,r_terr,r_aqua,r_anim,r_plant,tas_score_raw
Bacteroides uniformis,0.7613110081938012,Mostly Terrestrial,9999,1,0,0,0,0.7613110081938012
Ruthenibacterium lactatiformans,0.8657992565055762,Terrestrial Specialist,9999,1,0,0,0,0.8657992565055762
Parabacteroides merdae,0.7705146036161334,Mostly Terrestrial,9999,1,0,0,0,0.7705146036161334
Bifidobacterium pseudocatenulatum,0.7122383556477465,Mostly Terrestrial,9999,1,0,0,0,0.7122383556477465
Flavonifractor plautii,0.9126082771896052,Terrestrial Specialist,9999,1,0,0,0,0.9126082771896052
Alistipes putredinis,0.7211343686698177,Mostly Terrestrial,9999,1,0,0,0,0.7211343686698177
Turicibacter sanguinis,0.5935100680863392,Mostly Terrestrial,9999,1,0,0,0,0.5935100680863392
Streptococcus vestibularis,0.7500454793523741,Mostly Terrestrial,9999,1,0,0,0,0.7500454793523741
Streptococcus salivarius,0.7500454793523741,Mostly Terrestrial,9999,1,0,0,0,0.7500454793523741
Bacteroides caccae,0.8454497447632459,Terrestrial Specialist,9999,1,0,0,0,0.8454497447632459
Bacteroides fragilis,0.7786130426611539,Mostly Terrestrial,9999,1,0,0,0,0.7786130426611539
Faecalibacillus intestinalis,0.722360469249911,Mostly Terrestrial,9999,1,0,0,0,0.722360469249911
Bacteroides xylanisolvens,0.8504958047292143,Terrestrial Specialist,9999,1,0,0,0,0.8504958047292143
Rothia mucilaginosa,0.8324528301886793,Terrestrial Specialist,9999,1,0,0,0,0.8324528301886793
Odoribacter splanchnicus,0.8272599859845831,Terrestrial Specialist,9999,1,0,0,0,0.8272599859845831
Dysosmobacter welbionis,0.9054222222222224,Terrestrial Specialist,9999,1,0,0,0,0.9054222222222224
Alistipes shahii,0.8703961084086173,Terrestrial Specialist,9999,1,0,0,0,0.8703961084086173
Bifidobacterium bifidum,0.7972280235428136,Mostly Terrestrial,9999,1,0,0,0,0.7972280235428136
Streptococcus cristatus,0.82346917878353465,Terrestrial Specialist,9999,1,0,0,0,0.82346917878353465
Lactobacillus gasseri,0.8279226538939152,Terrestrial Specialist,9999,1,0,0,0,0.8279226538939152
Lactobacillus taiwanensis,0.8279226538939152,Terrestrial Specialist,9999,1,0,0,0,0.8279226538939152
Lactobacillus paragasseri,0.8279226538939152,Terrestrial Specialist,9999,1,0,0,0,0.8279226538939152
Lactobacillus johnsonii,0.8279226538939152,Terrestrial Specialist,9999,1,0,0,0,0.8279226538939152
Dialister invisus,0.7302538787023978,Mostly Terrestrial,9999,1,0,0,0,0.7302538787023978
Bacteroides eggerthii,0.7195121951219512,Mostly Terrestrial,9999,1,0,0,0,0.7195121951219512
Bacteroides acidifaciens,0.9450754365146636,Terrestrial Specialist,9999,1,0,0,0,0.9450754365146636
Phocaeicola coprocola,0.6511041009463722,Mostly Terrestrial,9999,1,0,0,0,0.6511041009463722
Enhydrobacter aerosaccus,0.14835443037974688,Mostly Terrestrial,9999,1,0,0,0,0.14835443037974688
Moraxella osloensis,0.18580609108689575,Mostly Terrestrial,9999,1,0,0,0,0.18580609108689575
Granulicatella adiacens,0.8137541398792129,Terrestrial Specialist,9999,1,0,0,0,0.8137541398792129
Lancefieldella parvula,0.9014679268047455,Terrestrial Specialist,9999,1,0,0,0,0.9014679268047455
Phocaeicola massiliensis,0.7663759192748418,Mostly Terrestrial,9999,1,0,0,0,0.7663759192748418
Lactococcus lactis,0.5537991737021735,Mostly Terrestrial,9999,1,0,0,0,0.5537991737021735
Lactococcus cremoris,0.5537991737021735,Mostly Terrestrial,9999,1,0,0,0,0.5537991737021735
Lactobacillus hominis,0.8608003034325811,Terrestrial Specialist,9999,1,0,0,0,0.8608003034325811
Gemmiger formicilis,0.8991735537190083,Terrestrial Specialist,9999,1,0,0,0,0.8991735537190083
Subdoligranulum variabile,0.8991735537190083,Terrestrial Specialist,9999,1,0,0,0,0.8991735537190083
Clostridium carnis,0.7023008849557524,Mostly Terrestrial,9999,1,0,0,0,0.7023008849557524
