sample	org	SpeciesRefGenome	RefSize
HS034L-1_S31	Salicaceae	GCA_965648395.1	<2GB
HS034L-1_S31	Dryas		GCA_963921425.1	<2GB
HS034L-1_S31	Dryas		GCA_963921425.1	<2GB
HS034L-1_S31	Salmonidae	GCF_021184085.1	>2GB
HS034L-1_S31	Canidae		GCF_018345385.1	>2GB
HS034L-7_S37	Salicaceae	GCA_965648395.1	<2GB
HS034L-7_S37	Dryas		GCA_963921425.1	<2GB
HS034L-7_S37	Saxifragaceae	GCA_032718425.1	<2GB
HS034L-7_S37	Salmonidae	GCF_021184085.1	>2GB
HS034L-7_S37	Cricetidae	GCF_018167655.1	>2GB
JK080L-14_S30	Salicaceae	GCA_965648395.1	<2GB
JK080L-14_S30	Salicaceae	GCA_965648395.1	<2GB
JK080L-14_S30	Dryas		GCA_963921425.1	<2GB
JK080L-14_S30	Salmonidae	GCF_021184085.1	>2GB
JK080L-14_S30	Soricidae	GCF_027595985.1	>2GB
JK079L-9_S9	Salicaceae	GCA_965648395.1	<2GB
JK079L-9_S9	Ericaceae	GCA_051176075.1	<2GB
JK079L-9_S9	Dryas		GCA_963921425.1	<2GB
JK079L-9_S9	Salmonidae	GCF_901001165.1	>2GB
JK079L-9_S9	Ochotonidae	GCF_030435755.1	>2GB
JK079L-9_S9	Mustelidae	GCA_040938815.1	>2GB
201118_A00902_B_L1-2_APMG_19_2	Salicaceae	GCA_965648395.1	<2GB
201118_A00902_B_L1-2_APMG_19_2	Pinaceae	GCA_004151065.3	<2GB
201118_A00902_B_L1-2_APMG_19_2	Ericaceae	GCA_051176075.1	<2GB
201118_A00902_B_L1-2_APMG_19_2	Salmonidae	GCF_023373465.1	>2GB
201118_A00902_B_L1-2_APMG_19_2	Sciuridae	GCA_047496905.1	>2GB
201118_A00902_B_L1-2_APMG_19_15	Salicaceae	GCA_965648395.1	<2GB
201118_A00902_B_L1-2_APMG_19_15	Dryas		GCA_963921425.1	<2GB
201118_A00902_B_L1-2_APMG_19_15	Dryas		GCA_963921425.1	<2GB
201118_A00902_B_L1-2_APMG_19_15	Dryas		GCA_963921425.1	<2GB
201118_A00902_B_L1-2_APMG_19_15	Salmonidae	GCA_002021735.2	>2GB
201118_A00902_B_L1-2_APMG_19_15	Leporidae	GCA_040893245.2	>2GB
210810_A00902_B_L002_APMG-38-1	Salicaceae	GCA_965648395.1	<2GB
210810_A00902_B_L002_APMG-38-1	Pinaceae	GCA_004151065.3	>2GB
210810_A00902_B_L002_APMG-38-1	Dryas		GCA_963921425.1 <2GB
210810_A00902_B_L002_APMG-38-1	Dryas		GCA_963921425.1	<2GB
210810_A00902_B_L002_APMG-38-1	Salmonidae	GCF_023373465.1	>2GB
210810_A00902_B_L002_APMG-38-1	Cricetidae	GCF_903992535.2	>2GB
JK105L-6_S21	Salicaceae	GCA_965648395.1	<2GB
JK105L-6_S21	Salicaceae	GCF_005239225.2	<2GB
JK105L-6_S21	Dryas		GCA_963921425.1	<2GB
JK105L-6_S21	Dryas		GCA_028570905.1	<2GB
JK105L-6_S21	Salmonidae	GCF_023373465.1	>2GB
JK105L-6_S21	Cricetidae	GCF_903992535.2	>2GB
IE111L-4_S1	Salicaceae	GCA_965648395.1	<2GB
IE111L-4_S1	Ericaceae	GCA_051176075.1	<2GB
IE111L-4_S1	Dryas		GCA_963921425.1	<2GB
IE111L-4_S1	Dryas		GCA_963921425.1	<2GB
IE111L-4_S1	Salmonidae	GCF_021184085.1	>2GB
IE111L-4_S1	Leporidae	GCA_040893245.2	>2GB
IE112L-3_S11	Salicaceae	GCA_965648395.1	<2GB
IE112L-3_S11	Dryas		GCA_963921425.1	<2GB
IE112L-3_S11	Papaveraceae	GCA_023529015.1	<2GB
IE112L-3_S11	Saxifragaceae	GCA_032718425.1	<2GB
IE112L-3_S11	Salmonidae	GCF_023373465.1	>2GB
IE112L-3_S11	Leporidae	GCA_040893245.2	>2GB
WJ196L-4_S4	Salicaceae	GCA_965648395.1	<2GB
WJ196L-4_S4	Pinaceae	GCA_004151065.3	>2GB
WJ196L-4_S4	Ericaceae	GCA_046118775.1	<2GB
WJ196L-4_S4	Ericaceae	GCA_051176075.1	<2GB
WJ196L-4_S4	Salmonidae	GCF_021184085.1	>2GB
WJ196L-4_S4	Leporidae	GCA_040893245.2	>2GB
WJ196L-11_S11	Salicaceae	GCA_965648395.1	<2GB
WJ196L-11_S11	Dryas		GCA_963921425.1	<2GB
WJ196L-11_S11	Papaveraceae	GCA_023529015.1	<2GB
WJ196L-11_S11	Ericaceae	GCA_051176075.1	<2GB
WJ196L-11_S11	Salmonidae	GCF_018296145.1	>2GB
WJ196L-11_S11	Leporidae	GCA_040893245.2	>2GB
WJ196L-11_S11	Leporidae	GCF_964237555.1	>2GB
