family,Type
Apiaceae,no wood
Asteraceae,no wood
Brassicaceae,no wood
Caprifoliaceae,no wood
Caryophyllaceae,no wood
Chlorellaceae,no wood
Chlorodendraceae,no wood
Cyperaceae,no wood
Cystopteridaceae,no wood
Dryopteridaceae,no wood
Equisetaceae,no wood
Ericaceae,no wood
Fabaceae,no wood
Grossulariaceae,no wood
Haloragaceae,no wood
Juncaceae,no wood
Lamiaceae,no wood
Lentibulariaceae,no wood
Montiaceae,no wood
Onagraceae,no wood
Orobanchaceae,no wood
Papaveraceae,no wood
Plantaginaceae,no wood
Poaceae,no wood
Polygalaceae,no wood
Polygonaceae,no wood
Potamogetonaceae,no wood
Ranunculaceae,no wood
Rosaceae,no wood
Rubiaceae,no wood
Saxifragaceae,no wood
Solanaceae,no wood
Primulaceae,no wood
Chlamydomonadaceae,no wood
Adoxaceae,no wood
Athyriaceae,no wood
Ceratophyllaceae,no wood
Crassulaceae,no wood
Violaceae,no wood
Asparagaceae,no wood
Chenopodiaceae,no wood
Elatinaceae,no wood
Lycopodiaceae,no wood
Typhaceae,no wood
Urticaceae,no wood
Cucurbitaceae,no wood
Mamiellaceae,no wood
Polytrichaceae,no wood
Woodsiaceae,no wood
Nymphaeaceae,no wood
Geraniaceae,no wood
Orchidaceae,no wood
Melanthiaceae,no wood
Characeae,no wood
Diapensiaceae,no wood
Campanulaceae,no wood
Thelypteridaceae,no wood
Amaranthaceae,no wood
Convolvulaceae,no wood
Balsaminaceae,no wood
Ximeniaceae,no wood
Zingiberaceae,no wood
Aspleniaceae,no wood
Bathycoccaceae,no wood
Cannabaceae,no wood
Celastraceae,no wood
Chloropicaceae,no wood
Dioscoreaceae,no wood
Droseraceae,no wood
Ophioglossaceae,no wood
Phrymaceae,no wood
Selenastraceae,no wood
Volvocaceae,no wood
Gentianaceae,no wood
Nelumbonaceae,no wood
Amaryllidaceae,no wood
Musaceae,no wood
Selaginellaceae,no wood
Betulaceae,tree
Boraginaceae,tree
Pinaceae,tree
Salicaceae,tree
Araceae,tree
Cupressaceae,tree
Malvaceae,tree
Fagaceae,tree
Myrtaceae,tree
Amborellaceae,tree
Arecaceae,tree
Bromeliaceae,tree
Euphorbiaceae,tree
Juglandaceae,tree
Moraceae,tree
Theaceae,tree
Oleaceae,tree
Anacardiaceae,tree
Proteaceae,tree
Sapindaceae,tree
Rutaceae,tree
