Organism,DNA_value_1,DNA_value_2,DNA_value_3,DNA_value_4,DNA_value_5,DNA_value_6,DNA_value_7,DNA_value_8,Biomass_value_1,Biomass_value_2,Biomass_value_3,Biomass_value_4,Biomass_value_5,Biomass_value_6,Biomass_value_7,Biomass_value_8
Embryophyta,1.00E-14,8.10E-13,5.70E-12,3.40E-11,5.10E-11,2.60E-11,7.90E-12,1.16E-11,2.00E-10,2.82E-10,5.61E-10,8.92E-10,3.36E-10,4.43E-10,2.00E-09,5.00E-09
Bacteria,1.50E-16,1.00E-13,2.00E-15,5.00E-14,1.33E-14,9.18E-15,9.18E-16,6.43E-15,3.00E-15,5.24E-13,8.97E-14,9.45E-13,6.02E-13,1.24E-13,1.10E-12,1.18E-12
freshwater_phytoplankton,1.00E-14,3.24E-12,1.50E-13,5.00E-12,5.00E-13,3.24E-12,7.60E-11,2.00E-10,2.00E-12,1.78E-12,6.22E-09,8.68E-10,2.62E-10,1.71E-11,3.87E-09,3.00E-08
tree,2.00E-13,5.00E-12,1.30E-12,9.00E-11,5.00E-12,5.00E-11,2.00E-11,3.60E-11,2.00E-10,3.73E-09,5.15E-09,2.00E-08,2.00E-09,5.73E-10,3.00E-09,1.00E-08
Plant,1.40E-14,5.23E-13,7.91E-12,3.44E-12,9.33E-12,9.05E-11,5.40E-11,1.52E-10,2.00E-10,3.50E-10,6.80E-09,9.10E-10,1.40E-09,5.20E-09,7.70E-10,1.00E-09
nowood,7.00E-14,7.43E-13,9.82E-12,3.28E-12,6.24E-11,3.80E-11,7.07E-11,8.25E-11,2.00E-10,2.82E-10,5.61E-10,7.92E-10,5.33E-09,2.21E-09,9.43E-09,6.10E-09
Metazoa,6.00E-14,3.45E-13,2.78E-12,8.91E-14,5.67E-13,1.03E-11,5.67E-12,1.19E-10,8.00E-12,4.85E-10,9.91E-10,1.25E-10,7.99E-11,4.60E-10,4.00E-10,5.60E-10
Archaea,5.30E-16,7.12E-16,2.35E-15,5.90E-16,1.48E-15,3.60E-15,6.05E-16,6.30E-15,1.06E-14,1.42E-14,4.70E-14,1.18E-13,2.96E-14,7.20E-14,1.21E-13,1.26E-13
Fungi,1.00E-14,3.25E-14,7.81E-14,2.44E-13,6.13E-12,8.72E-13,9.95E-13,1.00E-12,1.59E-14,5.49E-11,7.50E-12,4.19E-10,5.59E-11,1.49E-10,7.50E-11,4.19E-10
Viruses,1.08E-17,5.15E-17,1.04E-16,3.50E-17,9.10E-17,8.20E-17,1.87E-16,5.39E-16,2.71E-16,2.85E-16,2.38E-16,2.12E-16,2.50E-16,2.28E-16,1.10E-16,8.45E-17
