Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCA_040893245.2	Primary Assembly	1	76403662	42	CM081674.1	Chromosome			assembled-molecule	182608553			1
GCA_040893245.2	Primary Assembly	2	74560548	41.5	CM081675.1	Chromosome			assembled-molecule	178840976			2
GCA_040893245.2	Primary Assembly	3	71933922	42	CM081676.1	Chromosome			assembled-molecule	170765399			3
GCA_040893245.2	Primary Assembly	4	70783530	43	CM081677.1	Chromosome			assembled-molecule	164945228		1	4
GCA_040893245.2	Primary Assembly	5	73412532	45.5	CM081678.1	Chromosome			assembled-molecule	160934890			5
GCA_040893245.2	Primary Assembly	6	57918266	42	CM081679.1	Chromosome			assembled-molecule	138038782			6
GCA_040893245.2	Primary Assembly	7	58587386	43.5	CM081680.1	Chromosome			assembled-molecule	134401410			7
GCA_040893245.2	Primary Assembly	8	55722542	44.5	CM081681.1	Chromosome			assembled-molecule	125755317			8
GCA_040893245.2	Primary Assembly	9	57584754	46	CM081682.1	Chromosome			assembled-molecule	125741797			9
GCA_040893245.2	Primary Assembly	10	47328516	41	CM081683.1	Chromosome			assembled-molecule	115962950			10
GCA_040893245.2	Primary Assembly	11	48347934	44.5	CM081684.1	Chromosome			assembled-molecule	108133669			11
GCA_040893245.2	Primary Assembly	12	46820663	44	CM081685.1	Chromosome			assembled-molecule	106721022			12
GCA_040893245.2	Primary Assembly	13	44065757	44	CM081686.1	Chromosome			assembled-molecule	100667858			13
GCA_040893245.2	Primary Assembly	14	43522323	44	CM081687.1	Chromosome			assembled-molecule	99141757			14
GCA_040893245.2	Primary Assembly	15	41057542	42	CM081688.1	Chromosome			assembled-molecule	97426325			15
GCA_040893245.2	Primary Assembly	16	38973291	42	CM081689.1	Chromosome			assembled-molecule	92510998			16
GCA_040893245.2	Primary Assembly	17	38415072	45.5	CM081690.1	Chromosome			assembled-molecule	84324624			17
GCA_040893245.2	Primary Assembly	18	33970141	49	CM081691.1	Chromosome			assembled-molecule	69582148			18
GCA_040893245.2	Primary Assembly	19	31257204	45.5	CM081692.1	Chromosome			assembled-molecule	68953458			19
GCA_040893245.2	Primary Assembly	20	30553083	49	CM081693.1	Chromosome			assembled-molecule	62379178			20
