Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCA_027595985.1	Primary Assembly	1	185636111	41	CM050716.1	Chromosome		NC_073302.1	assembled-molecule	452700413			SUPER_1
GCA_027595985.1	Primary Assembly	2	163109987	43	CM050717.1	Chromosome		NC_073303.1	assembled-molecule	381072001			SUPER_2
GCA_027595985.1	Primary Assembly	3	106289853	44.5	CM050718.1	Chromosome		NC_073304.1	assembled-molecule	239582062			SUPER_3
GCA_027595985.1	Primary Assembly	4	96507521	43.5	CM050719.1	Chromosome		NC_073305.1	assembled-molecule	222963043			SUPER_4
GCA_027595985.1	Primary Assembly	5	96665077	45	CM050720.1	Chromosome		NC_073306.1	assembled-molecule	216565905			SUPER_5
GCA_027595985.1	Primary Assembly	6	76137847	45	CM050721.1	Chromosome		NC_073307.1	assembled-molecule	169026226			SUPER_6
GCA_027595985.1	Primary Assembly	7	33924618	44	CM050722.1	Chromosome		NC_073308.1	assembled-molecule	77757119			SUPER_7
GCA_027595985.1	Primary Assembly	8	32635363	46.5	CM050723.1	Chromosome		NC_073309.1	assembled-molecule	71220267			SUPER_8
GCA_027595985.1	Primary Assembly	9	31204072	45.5	CM050724.1	Chromosome		NC_073310.1	assembled-molecule	69197946			SUPER_9
GCA_027595985.1	Primary Assembly	10	28430012	42	CM050725.1	Chromosome		NC_073311.1	assembled-molecule	67946173			SUPER_10
GCA_027595985.1	Primary Assembly	11	26722907	45	CM050726.1	Chromosome		NC_073312.1	assembled-molecule	59732558			SUPER_11
GCA_027595985.1	Primary Assembly	X	155512796	42	CM050727.1	Chromosome		NC_073313.1	assembled-molecule	374364821		15	SUPER_X
GCA_027595985.1	Primary Assembly	X			JAQBIA010000002.1	Chromosome		NW_026570955.1	unlocalized-scaffold	324167		15	SUPER_X_unloc_1
GCA_027595985.1	Primary Assembly	X			JAQBIA010000003.1	Chromosome		NW_026570962.1	unlocalized-scaffold	307600		15	SUPER_X_unloc_2
GCA_027595985.1	Primary Assembly	X			JAQBIA010000004.1	Chromosome		NW_026570963.1	unlocalized-scaffold	246035		15	SUPER_X_unloc_3
GCA_027595985.1	Primary Assembly	X			JAQBIA010000005.1	Chromosome		NW_026570964.1	unlocalized-scaffold	203781		15	SUPER_X_unloc_4
GCA_027595985.1	Primary Assembly	X			JAQBIA010000006.1	Chromosome		NW_026570965.1	unlocalized-scaffold	143379		15	SUPER_X_unloc_5
GCA_027595985.1	Primary Assembly	X			JAQBIA010000007.1	Chromosome		NW_026570966.1	unlocalized-scaffold	134457		15	SUPER_X_unloc_6
GCA_027595985.1	Primary Assembly	X			JAQBIA010000008.1	Chromosome		NW_026570967.1	unlocalized-scaffold	134180		15	SUPER_X_unloc_7
GCA_027595985.1	Primary Assembly	X			JAQBIA010000009.1	Chromosome		NW_026570968.1	unlocalized-scaffold	126305		15	SUPER_X_unloc_8
GCA_027595985.1	Primary Assembly	X			JAQBIA010000010.1	Chromosome		NW_026570969.1	unlocalized-scaffold	122314		15	SUPER_X_unloc_9
GCA_027595985.1	Primary Assembly	X			JAQBIA010000011.1	Chromosome		NW_026570956.1	unlocalized-scaffold	120480		15	SUPER_X_unloc_10
GCA_027595985.1	Primary Assembly	X			JAQBIA010000012.1	Chromosome		NW_026570957.1	unlocalized-scaffold	113931		15	SUPER_X_unloc_11
GCA_027595985.1	Primary Assembly	X			JAQBIA010000013.1	Chromosome		NW_026570958.1	unlocalized-scaffold	98247		15	SUPER_X_unloc_12
GCA_027595985.1	Primary Assembly	X			JAQBIA010000014.1	Chromosome		NW_026570959.1	unlocalized-scaffold	83324		15	SUPER_X_unloc_13
GCA_027595985.1	Primary Assembly	X			JAQBIA010000015.1	Chromosome		NW_026570960.1	unlocalized-scaffold	49169		15	SUPER_X_unloc_14
GCA_027595985.1	Primary Assembly	X			JAQBIA010000016.1	Chromosome		NW_026570961.1	unlocalized-scaffold	530683		15	SUPER_X_unloc_15
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000029.1	Chromosome		NW_026570917.1	unplaced-scaffold	64543			scaffold_143
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000030.1	Chromosome		NW_026570918.1	unplaced-scaffold	53343			scaffold_160
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000031.1	Chromosome		NW_026570919.1	unplaced-scaffold	51189			scaffold_163
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000032.1	Chromosome		NW_026570920.1	unplaced-scaffold	48302			scaffold_167
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000033.1	Chromosome		NW_026570921.1	unplaced-scaffold	46869			scaffold_168
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000034.1	Chromosome		NW_026570922.1	unplaced-scaffold	45009			scaffold_170
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000035.1	Chromosome		NW_026570923.1	unplaced-scaffold	43882			scaffold_174
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000036.1	Chromosome		NW_026570924.1	unplaced-scaffold	41911			scaffold_183
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000037.1	Chromosome		NW_026570925.1	unplaced-scaffold	41325			scaffold_185
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000038.1	Chromosome		NW_026570926.1	unplaced-scaffold	39038			scaffold_190
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000039.1	Chromosome		NW_026570927.1	unplaced-scaffold	35348			scaffold_196
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000040.1	Chromosome		NW_026570928.1	unplaced-scaffold	34434			scaffold_198
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000041.1	Chromosome		NW_026570929.1	unplaced-scaffold	31416			scaffold_202
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000042.1	Chromosome		NW_026570930.1	unplaced-scaffold	30648			scaffold_204
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000043.1	Chromosome		NW_026570931.1	unplaced-scaffold	29308			scaffold_207
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000044.1	Chromosome		NW_026570932.1	unplaced-scaffold	27427			scaffold_208
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000045.1	Chromosome		NW_026570933.1	unplaced-scaffold	27175			scaffold_209
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000046.1	Chromosome		NW_026570934.1	unplaced-scaffold	26026			scaffold_211
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000047.1	Chromosome		NW_026570935.1	unplaced-scaffold	25899			scaffold_212
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000048.1	Chromosome		NW_026570936.1	unplaced-scaffold	25388			scaffold_213
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000049.1	Chromosome		NW_026570937.1	unplaced-scaffold	24966			scaffold_214
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000050.1	Chromosome		NW_026570938.1	unplaced-scaffold	24899			scaffold_215
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000051.1	Chromosome		NW_026570939.1	unplaced-scaffold	24234			scaffold_216
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000052.1	Chromosome		NW_026570940.1	unplaced-scaffold	23819			scaffold_217
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000053.1	Chromosome		NW_026570941.1	unplaced-scaffold	23768			scaffold_218
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000054.1	Chromosome		NW_026570942.1	unplaced-scaffold	23379			scaffold_219
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000055.1	Chromosome		NW_026570943.1	unplaced-scaffold	23231			scaffold_220
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000056.1	Chromosome		NW_026570944.1	unplaced-scaffold	20295			scaffold_221
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000057.1	Chromosome		NW_026570945.1	unplaced-scaffold	20205			scaffold_222
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000058.1	Chromosome		NW_026570946.1	unplaced-scaffold	20027			scaffold_223
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000059.1	Chromosome		NW_026570947.1	unplaced-scaffold	19209			scaffold_224
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000060.1	Chromosome		NW_026570948.1	unplaced-scaffold	18369			scaffold_226
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000061.1	Chromosome		NW_026570949.1	unplaced-scaffold	18294			scaffold_227
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000062.1	Chromosome		NW_026570950.1	unplaced-scaffold	17076			scaffold_229
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000063.1	Chromosome		NW_026570951.1	unplaced-scaffold	16797			scaffold_230
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000064.1	Chromosome		NW_026570952.1	unplaced-scaffold	16668			scaffold_231
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000065.1	Chromosome		NW_026570953.1	unplaced-scaffold	13328			scaffold_232
GCA_027595985.1	Primary Assembly	Un			JAQBIA010000066.1	Chromosome		NW_026570954.1	unplaced-scaffold	9918			scaffold_233
GCA_027595985.1	non-nuclear	MT	6615	38	CM050753.1	Mitochondrion			assembled-molecule	17325			ptg000002l_rotated
