Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCF_002021735.2	Primary Assembly	LG1	33024101	43	CM007718.2	Linkage Group		NC_034174.2	assembled-molecule	76396483			OkisLG01
GCF_002021735.2	Primary Assembly	LG2	34895728	43.5	CM007719.2	Linkage Group		NC_034175.2	assembled-molecule	80365763			OkisLG02
GCF_002021735.2	Primary Assembly	LG3	33833173	43.5	CM007720.2	Linkage Group		NC_034176.2	assembled-molecule	78219168			OkisLG03
GCF_002021735.2	Primary Assembly	LG4	35755800	43	CM007721.2	Linkage Group		NC_034177.2	assembled-molecule	83151420			OkisLG04
GCF_002021735.2	Primary Assembly	LG5	34146087	43	CM007722.2	Linkage Group		NC_034178.2	assembled-molecule	79151382			OkisLG05
GCF_002021735.2	Primary Assembly	LG6	36835126	43	CM007723.2	Linkage Group		NC_034179.2	assembled-molecule	85211253			OkisLG06
GCF_002021735.2	Primary Assembly	LG7	24897215	43.5	CM007724.2	Linkage Group		NC_034180.2	assembled-molecule	57284449			OkisLG07
GCF_002021735.2	Primary Assembly	LG8	34281350	43.5	CM007725.2	Linkage Group		NC_034181.2	assembled-molecule	78938090			OkisLG08
GCF_002021735.2	Primary Assembly	LG9	20500647	44	CM007726.2	Linkage Group		NC_034182.2	assembled-molecule	46857769			OkisLG09
GCF_002021735.2	Primary Assembly	LG10	29833411	43.5	CM007727.2	Linkage Group		NC_034183.2	assembled-molecule	68916532			OkisLG10
GCF_002021735.2	Primary Assembly	LG11	39425634	43	CM007728.2	Linkage Group		NC_034184.2	assembled-molecule	91447791			OkisLG11
GCF_002021735.2	Primary Assembly	LG12	25385344	43.5	CM007729.2	Linkage Group		NC_034185.2	assembled-molecule	58696743			OkisLG12
GCF_002021735.2	Primary Assembly	LG13	33921868	43.5	CM007730.2	Linkage Group		NC_034186.2	assembled-molecule	77794808			OkisLG13
GCF_002021735.2	Primary Assembly	LG14	39413891	43.5	CM007731.2	Linkage Group		NC_034187.2	assembled-molecule	90355878			OkisLG14
GCF_002021735.2	Primary Assembly	LG15	42047026	44	CM007732.2	Linkage Group		NC_034188.2	assembled-molecule	95906753			OkisLG15
GCF_002021735.2	Primary Assembly	LG16	22843321	43.5	CM007733.2	Linkage Group		NC_034189.2	assembled-molecule	52456294			OkisLG16
GCF_002021735.2	Primary Assembly	LG17	38688490	43.5	CM007734.2	Linkage Group		NC_034190.2	assembled-molecule	88828318			OkisLG17
GCF_002021735.2	Primary Assembly	LG18	37399385	44	CM007735.2	Linkage Group		NC_034191.2	assembled-molecule	85416383			OkisLG18
GCF_002021735.2	Primary Assembly	LG19	29727798	43.5	CM007736.2	Linkage Group		NC_034192.2	assembled-molecule	68265700			OkisLG19
GCF_002021735.2	Primary Assembly	LG20	22843611	43.5	CM007737.2	Linkage Group		NC_034193.2	assembled-molecule	52667967			OkisLG20
