Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCA_964237555.1	Primary Assembly	1	105274298	44	OZ175184.1	Chromosome		NC_091432.1	assembled-molecule	238208258			SUPER_1
GCA_964237555.1	Primary Assembly	2	86635945	43.5	OZ175185.1	Chromosome		NC_091433.1	assembled-molecule	200060408			SUPER_2
GCA_964237555.1	Primary Assembly	3	78104204	42	OZ175186.1	Chromosome		NC_091434.1	assembled-molecule	185672270			SUPER_3
GCA_964237555.1	Primary Assembly	4	73771031	42	OZ175187.1	Chromosome		NC_091435.1	assembled-molecule	176144621			SUPER_4
GCA_964237555.1	Primary Assembly	5	72150363	42.5	OZ175188.1	Chromosome		NC_091436.1	assembled-molecule	170523586			SUPER_5
GCA_964237555.1	Primary Assembly	6	72931816	43.5	OZ175189.1	Chromosome		NC_091437.1	assembled-molecule	168558951			SUPER_6
GCA_964237555.1	Primary Assembly	7	75249349	46	OZ175190.1	Chromosome		NC_091438.1	assembled-molecule	164456403			SUPER_7
GCA_964237555.1	Primary Assembly	8	59842459	41.5	OZ175191.1	Chromosome		NC_091439.1	assembled-molecule	144279705			SUPER_8
GCA_964237555.1	Primary Assembly	9	58235276	42.5	OZ175192.1	Chromosome		NC_091440.1	assembled-molecule	137835915			SUPER_9
GCA_964237555.1	Primary Assembly	10	55625385	44.5	OZ175194.1	Chromosome		NC_091441.1	assembled-molecule	124463370			SUPER_10
GCA_964237555.1	Primary Assembly	11	57360976	46.5	OZ175195.1	Chromosome		NC_091442.1	assembled-molecule	123708378			SUPER_11
GCA_964237555.1	Primary Assembly	12	53211868	45	OZ175196.1	Chromosome		NC_091443.1	assembled-molecule	118774616			SUPER_12
GCA_964237555.1	Primary Assembly	13	48161767	44	OZ175197.1	Chromosome		NC_091444.1	assembled-molecule	109731562			SUPER_13
GCA_964237555.1	Primary Assembly	14	41447080	42.5	OZ175198.1	Chromosome		NC_091445.1	assembled-molecule	97675325			SUPER_14
GCA_964237555.1	Primary Assembly	15	40853992	45.5	OZ175199.1	Chromosome		NC_091446.1	assembled-molecule	89444702			SUPER_15
GCA_964237555.1	Primary Assembly	16	33511815	46	OZ175200.1	Chromosome		NC_091447.1	assembled-molecule	73040857		1	SUPER_16
GCA_964237555.1	Primary Assembly	17	33875977	49.5	OZ175201.1	Chromosome		NC_091448.1	assembled-molecule	68404751		3	SUPER_17
GCA_964237555.1	Primary Assembly	18	34391373	49.5	OZ175202.1	Chromosome		NC_091449.1	assembled-molecule	69638853			SUPER_18
GCA_964237555.1	Primary Assembly	19	32457350	48.5	OZ175203.1	Chromosome		NC_091450.1	assembled-molecule	66847256			SUPER_19
GCA_964237555.1	Primary Assembly	20	23110938	46.5	OZ175204.1	Chromosome		NC_091451.1	assembled-molecule	49454939			SUPER_20
GCA_964237555.1	Primary Assembly	21	16825070	52.5	OZ175205.1	Chromosome		NC_091452.1	assembled-molecule	32060495			SUPER_21
GCA_964237555.1	Primary Assembly	X	54951840	41	OZ175193.1	Chromosome		NC_091453.1	assembled-molecule	134325207			SUPER_X
GCA_964237555.1	Primary Assembly	16			CAXSJQ010000001.1	Chromosome		NW_027208201.1	unlocalized-scaffold	7705000		1	SUPER_16_unloc_1
GCA_964237555.1	Primary Assembly	17			CAXSJQ010000002.1	Chromosome		NW_027208202.1	unlocalized-scaffold	2759714		3	SUPER_17_unloc_1
GCA_964237555.1	Primary Assembly	17			CAXSJQ010000003.1	Chromosome		NW_027208203.1	unlocalized-scaffold	1659102		3	SUPER_17_unloc_2
GCA_964237555.1	Primary Assembly	17			CAXSJQ010000004.1	Chromosome		NW_027208204.1	unlocalized-scaffold	1266935		3	SUPER_17_unloc_3
GCA_964237555.1	Primary Assembly	Un			CAXSJQ010000005.1	Chromosome		NW_027208205.1	unplaced-scaffold	380000			SCAFFOLD_86
GCA_964237555.1	Primary Assembly	Un			CAXSJQ010000006.1	Chromosome		NW_027208206.1	unplaced-scaffold	1556000			SCAFFOLD_42
GCA_964237555.1	Primary Assembly	Un			CAXSJQ010000007.1	Chromosome		NW_027208207.1	unplaced-scaffold	1520000			SCAFFOLD_43
GCA_964237555.1	Primary Assembly	Un			CAXSJQ010000008.1	Chromosome		NW_027208208.1	unplaced-scaffold	10155			SCAFFOLD_361
GCA_964237555.1	Primary Assembly	Un			CAXSJQ010000009.1	Chromosome		NW_027208209.1	unplaced-scaffold	82079			SCAFFOLD_175
GCA_964237555.1	Primary Assembly	Un			CAXSJQ010000010.1	Chromosome		NW_027208210.1	unplaced-scaffold	1000			SCAFFOLD_366
