Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCA_005239225.2	Primary Assembly	1	18186943	33	CM100070.1	Chromosome		NC_133284.1	assembled-molecule	54846348			Chr01
GCA_005239225.2	Primary Assembly	2	6794697	33	CM100071.1	Chromosome		NC_133285.1	assembled-molecule	20523245			Chr02
GCA_005239225.2	Primary Assembly	3	7671324	34	CM100072.1	Chromosome		NC_133286.1	assembled-molecule	22734209			Chr03
GCA_005239225.2	Primary Assembly	4	7778576	33.5	CM100073.1	Chromosome		NC_133287.1	assembled-molecule	23233841			Chr04
GCA_005239225.2	Primary Assembly	5	7744017	33.5	CM100074.1	Chromosome		NC_133288.1	assembled-molecule	23208828			Chr05
GCA_005239225.2	Primary Assembly	6	8482090	33	CM100075.1	Chromosome		NC_133289.1	assembled-molecule	25637016			Chr06
GCA_005239225.2	Primary Assembly	7	4819443	33	CM100076.1	Chromosome		NC_133290.1	assembled-molecule	14533931			Chr07
GCA_005239225.2	Primary Assembly	8	6977107	34.5	CM100077.1	Chromosome		NC_133291.1	assembled-molecule	20300730			Chr08
GCA_005239225.2	Primary Assembly	9	4522222	34.5	CM100078.1	Chromosome		NC_133292.1	assembled-molecule	13159515			Chr09
GCA_005239225.2	Primary Assembly	10	7522003	34	CM100079.1	Chromosome		NC_133293.1	assembled-molecule	22002062			Chr10
GCA_005239225.2	Primary Assembly	11	7952663	34	CM100080.1	Chromosome		NC_133294.1	assembled-molecule	23474536			Chr11
GCA_005239225.2	Primary Assembly	12	5127495	33.5	CM100081.1	Chromosome		NC_133295.1	assembled-molecule	15352202			Chr12
GCA_005239225.2	Primary Assembly	13	5587171	33.5	CM100082.1	Chromosome		NC_133296.1	assembled-molecule	16711252			Chr13
GCA_005239225.2	Primary Assembly	14	8086314	34	CM100083.1	Chromosome		NC_133297.1	assembled-molecule	23661379			Chr14
GCA_005239225.2	Primary Assembly	15	5564329	34	CM100084.1	Chromosome		NC_133298.1	assembled-molecule	16454697			Chr15
GCA_005239225.2	Primary Assembly	16	5347178	33.5	CM100085.1	Chromosome		NC_133299.1	assembled-molecule	16080612			Chr16
GCA_005239225.2	Primary Assembly	17	7313756	34	CM100086.1	Chromosome		NC_133300.1	assembled-molecule	21620243			Chr17
GCA_005239225.2	Primary Assembly	18	5347720	33	CM100087.1	Chromosome		NC_133301.1	assembled-molecule	16135015			Chr18
GCA_005239225.2	Primary Assembly	19	7802631	34	CM100088.1	Chromosome		NC_133302.1	assembled-molecule	23009717			Chr19
GCA_005239225.2	Primary Assembly	Un			RCHU02000020.1	Chromosome		NW_027340114.1	unplaced-scaffold	42980			scaf100
GCA_005239225.2	Primary Assembly	Un			RCHU02000021.1	Chromosome		NW_027340115.1	unplaced-scaffold	44980			scaf101
GCA_005239225.2	Primary Assembly	Un			RCHU02000022.1	Chromosome		NW_027340116.1	unplaced-scaffold	34998			scaf103
GCA_005239225.2	Primary Assembly	Un			RCHU02000023.1	Chromosome		NW_027340117.1	unplaced-scaffold	45997			scaf106
GCA_005239225.2	Primary Assembly	Un			RCHU02000024.1	Chromosome		NW_027340118.1	unplaced-scaffold	29844			scaf112
GCA_005239225.2	Primary Assembly	Un			RCHU02000025.1	Chromosome		NW_027340119.1	unplaced-scaffold	29803			scaf113
GCA_005239225.2	Primary Assembly	Un			RCHU02000026.1	Chromosome		NW_027340120.1	unplaced-scaffold	48608			scaf114
GCA_005239225.2	Primary Assembly	Un			RCHU02000027.1	Chromosome		NW_027340121.1	unplaced-scaffold	28400			scaf116
GCA_005239225.2	Primary Assembly	Un			RCHU02000028.1	Chromosome		NW_027340122.1	unplaced-scaffold	27998			scaf117
GCA_005239225.2	Primary Assembly	Un			RCHU02000029.1	Chromosome		NW_027340123.1	unplaced-scaffold	27981			scaf118
