Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCF_000002775.5	Primary Assembly	1	16644213	33.5	CM009290.2	Chromosome		NC_037285.2	assembled-molecule	49788581			Chr01
GCF_000002775.5	Primary Assembly	2	8499552	33.5	CM009291.2	Chromosome		NC_037286.2	assembled-molecule	25242375			Chr02
GCF_000002775.5	Primary Assembly	3	7288462	33.5	CM009292.2	Chromosome		NC_037287.2	assembled-molecule	21678634			Chr03
GCF_000002775.5	Primary Assembly	4	8119600	33.5	CM009293.2	Chromosome		NC_037288.2	assembled-molecule	24140038			Chr04
GCF_000002775.5	Primary Assembly	5	8369181	33.5	CM009294.2	Chromosome		NC_037289.2	assembled-molecule	24981103			Chr05
GCF_000002775.5	Primary Assembly	6	9127959	33	CM009295.2	Chromosome		NC_037290.2	assembled-molecule	27516652			Chr06
GCF_000002775.5	Primary Assembly	7	5223975	33.5	CM009296.2	Chromosome		NC_037291.2	assembled-molecule	15561420			Chr07
GCF_000002775.5	Primary Assembly	8	6688216	35	CM009297.2	Chromosome		NC_037292.2	assembled-molecule	19195260			Chr08
GCF_000002775.5	Primary Assembly	9	4433248	34	CM009298.2	Chromosome		NC_037293.2	assembled-molecule	12987399			Chr09
GCF_000002775.5	Primary Assembly	10	7836947	34.5	CM009299.2	Chromosome		NC_037294.2	assembled-molecule	22799081			Chr10
GCF_000002775.5	Primary Assembly	11	6451646	33.5	CM009300.2	Chromosome		NC_037295.2	assembled-molecule	19288771			Chr11
GCF_000002775.5	Primary Assembly	12	5227024	33.5	CM009301.2	Chromosome		NC_037296.2	assembled-molecule	15589050			Chr12
GCF_000002775.5	Primary Assembly	13	5220128	33.5	CM009302.2	Chromosome		NC_037297.2	assembled-molecule	15705617			Chr13
GCF_000002775.5	Primary Assembly	14	6095246	34.5	CM009303.2	Chromosome		NC_037298.2	assembled-molecule	17801709			Chr14
GCF_000002775.5	Primary Assembly	15	5114473	33.5	CM009304.2	Chromosome		NC_037299.2	assembled-molecule	15231745			Chr15
GCF_000002775.5	Primary Assembly	16	4917408	33.5	CM009305.2	Chromosome		NC_037300.2	assembled-molecule	14619816			Chr16
GCF_000002775.5	Primary Assembly	17	5126732	34	CM009306.2	Chromosome		NC_037301.2	assembled-molecule	15189755			Chr17
