Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCF_903992535.2	Primary Assembly	1	85208000	42.5	LR862380.1	Chromosome		NC_052047.1	assembled-molecule	200529155			SUPER_1
GCF_903992535.2	Primary Assembly	2	81016450	42	LR862381.2	Chromosome		NC_052048.2	assembled-molecule	193958709			SUPER_2
GCF_903992535.2	Primary Assembly	3	79521694	42	LR862382.1	Chromosome		NC_052049.1	assembled-molecule	189600082			SUPER_3
GCF_903992535.2	Primary Assembly	4	70505043	44	LR862383.1	Chromosome		NC_052050.1	assembled-molecule	161325571			SUPER_4
GCF_903992535.2	Primary Assembly	5	68038765	42.5	LR862384.1	Chromosome		NC_052051.1	assembled-molecule	160717644			SUPER_5
GCF_903992535.2	Primary Assembly	6	68451772	43	LR862385.2	Chromosome		NC_052052.2	assembled-molecule	158924400			SUPER_6
GCF_903992535.2	Primary Assembly	7	57709499	42	LR862386.1	Chromosome		NC_052053.1	assembled-molecule	138658583			SUPER_7
GCF_903992535.2	Primary Assembly	8	55113009	42	LR862388.1	Chromosome		NC_052054.1	assembled-molecule	131410784			SUPER_8
GCF_903992535.2	Primary Assembly	9	54568730	43.5	LR862389.2	Chromosome		NC_052055.2	assembled-molecule	125825491			SUPER_9
GCF_903992535.2	Primary Assembly	10	52882767	42.5	LR862390.1	Chromosome		NC_052056.1	assembled-molecule	125086424			SUPER_10
GCF_903992535.2	Primary Assembly	11	50354475	40.5	LR862391.2	Chromosome		NC_052057.2	assembled-molecule	123987292			SUPER_11
GCF_903992535.2	Primary Assembly	12	70272754	42.5	LR862392.2	Chromosome		NC_052058.2	assembled-molecule	166747489			SUPER_12
GCF_903992535.2	Primary Assembly	13	30997582	41	LR862393.1	Chromosome		NC_052059.1	assembled-molecule	75712621			SUPER_13
GCF_903992535.2	Primary Assembly	14	26164910	41.5	LR862394.1	Chromosome		NC_052060.1	assembled-molecule	63161238			SUPER_14
GCF_903992535.2	Primary Assembly	15	24508796	44	LR862395.1	Chromosome		NC_052061.1	assembled-molecule	55452225			SUPER_15
GCF_903992535.2	Primary Assembly	17	17689713	41.5	LR862397.2	Chromosome		NC_052063.2	assembled-molecule	42645200			SUPER_17
GCF_903992535.2	Primary Assembly	18	13695451	41	LR862398.1	Chromosome		NC_052064.1	assembled-molecule	33208378			SUPER_18
GCF_903992535.2	Primary Assembly	X	54069100	39.5	LR862387.1	Chromosome		NC_052065.1	assembled-molecule	137701950			SUPER_X
GCF_903992535.2	Primary Assembly	Un			CAJEUG020000001.1	Chromosome		NW_024582165.1	unplaced-scaffold	66053			contig1
GCF_903992535.2	Primary Assembly	Un			CAJEUG020000002.1	Chromosome		NW_024582166.1	unplaced-scaffold	66162			contig2
GCF_903992535.2	Primary Assembly	Un			CAJEUG020000003.1	Chromosome		NW_024582167.1	unplaced-scaffold	64006			contig3
GCF_903992535.2	Primary Assembly	Un			CAJEUG020000004.1	Chromosome		NW_024582168.1	unplaced-scaffold	59910			contig4
GCF_903992535.2	Primary Assembly	Un			CAJEUG020000005.1	Chromosome		NW_024582169.1	unplaced-scaffold	59287			contig5
GCF_903992535.2	Primary Assembly	Un			CAJEUG020000006.1	Chromosome		NW_024582170.1	unplaced-scaffold	58164			contig6
GCF_903992535.2	Primary Assembly	Un			CAJEUG020000007.1	Chromosome		NW_024582171.1	unplaced-scaffold	57005			contig7
GCF_903992535.2	Primary Assembly	Un			CAJEUG020000008.1	Chromosome		NW_024582172.1	unplaced-scaffold	56901			contig8
