Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCF_018296145.1	Primary Assembly	LG01	41122168	43	CM031199.1	Linkage Group		NC_056429.1	assembled-molecule	95801903			LG01_El08.1+06.1
GCF_018296145.1	Primary Assembly	LG02	32659069	43	CM031200.1	Linkage Group		NC_056430.1	assembled-molecule	75537397			LG02_El17.1+09.2
GCF_018296145.1	Primary Assembly	LG03	35453678	43.5	CM031201.1	Linkage Group		NC_056431.1	assembled-molecule	81554755			LG03_El20.2+16.2
GCF_018296145.1	Primary Assembly	LG04	32675520	43	CM031202.1	Linkage Group		NC_056432.1	assembled-molecule	75613410			LG04_El13.1+02.1
GCF_018296145.1	Primary Assembly	LG05	39324131	43.5	CM031203.1	Linkage Group		NC_056433.1	assembled-molecule	90317969			LG05_El18.1+08.2
GCF_018296145.1	Primary Assembly	LG06	34529956	43	CM031204.1	Linkage Group		NC_056434.1	assembled-molecule	80340224			LG06_El19.2+06.2
GCF_018296145.1	Primary Assembly	LG07	33276325	43	CM031205.1	Linkage Group		NC_056435.1	assembled-molecule	77130101			LG07_El22.1+17.2
GCF_018296145.1	Primary Assembly	LG08	39938075	44	CM031206.1	Linkage Group		NC_056436.1	assembled-molecule	91267893			LG08_El15.1+04.1
GCF_018296145.1	Primary Assembly	LG09	37299681	43	CM031207.1	Linkage Group		NC_056437.1	assembled-molecule	86417572			LG09_El07.1+11.2
GCF_018296145.1	Primary Assembly	LG10	36712445	43.5	CM031208.1	Linkage Group		NC_056438.1	assembled-molecule	84826039			LG10_El24.2+03.1
GCF_018296145.1	Primary Assembly	LG11	24644318	43.5	CM031209.1	Linkage Group		NC_056439.1	assembled-molecule	56679371			LG11_El25.2+15.2
GCF_018296145.1	Primary Assembly	LG12	32835487	43.5	CM031210.1	Linkage Group		NC_056440.1	assembled-molecule	75652860			LG12_El13.2+02.2
GCF_018296145.1	Primary Assembly	LG13	42026986	44	CM031211.1	Linkage Group		NC_056441.1	assembled-molecule	95666326			LG13_El10.1+01.1
GCF_018296145.1	Primary Assembly	LG14	27571242	44	CM031212.1	Linkage Group		NC_056442.1	assembled-molecule	62516319			LG14_El22.2+01.2
GCF_018296145.1	Primary Assembly	LG15	17940356	43.5	CM031213.1	Linkage Group		NC_056443.1	assembled-molecule	41069628			LG15_El23.1+24.1
GCF_018296145.1	Primary Assembly	LG16	38888867	43.5	CM031214.1	Linkage Group		NC_056444.1	assembled-molecule	89555470			LG16_El21.2+12.2
GCF_018296145.1	Primary Assembly	LG17	10913873	44	CM031215.1	Linkage Group		NC_056445.1	assembled-molecule	24928494			LG17_El23.2
GCF_018296145.1	Primary Assembly	LG18	20436851	43.5	CM031216.1	Linkage Group		NC_056446.1	assembled-molecule	46953456			LG18_El18.2
GCF_018296145.1	Primary Assembly	LG19	25929033	43	CM031217.1	Linkage Group		NC_056447.1	assembled-molecule	60026146			LG19_El19.1
GCF_018296145.1	Primary Assembly	LG20	22683006	43.5	CM031218.1	Linkage Group		NC_056448.1	assembled-molecule	52270623			LG20_El14.1
GCF_018296145.1	Primary Assembly	LG21	19572085	43.5	CM031219.1	Linkage Group		NC_056449.1	assembled-molecule	44939649			LG21_El04.2
GCF_018296145.1	Primary Assembly	LG22	20228565	44	CM031220.1	Linkage Group		NC_056450.1	assembled-molecule	46238377			LG22_El12.1
GCF_018296145.1	Primary Assembly	LG23	12093534	43.5	CM031221.1	Linkage Group		NC_056451.1	assembled-molecule	27813821			LG23_El20.1
GCF_018296145.1	Primary Assembly	LG24	14967451	43.5	CM031222.1	Linkage Group		NC_056452.1	assembled-molecule	34545068			LG24_El05.1
GCF_018296145.1	Primary Assembly	LG25	20742346	43.5	CM031223.1	Linkage Group		NC_056453.1	assembled-molecule	47919032			LG25_El05.2
GCF_018296145.1	Primary Assembly	LG26	23440128	43	CM031224.1	Linkage Group		NC_056454.1	assembled-molecule	54312133			LG26_El16.1
GCF_018296145.1	Primary Assembly	LG27	9412373	43.5	CM031225.1	Linkage Group		NC_056455.1	assembled-molecule	21534814			LG27_El11.1
GCF_018296145.1	Primary Assembly	LG28	19459558	43	CM031226.1	Linkage Group		NC_056456.1	assembled-molecule	45212454			LG28_El03.2
GCF_018296145.1	Primary Assembly	LG29	17361498	43.5	CM031227.1	Linkage Group		NC_056457.1	assembled-molecule	39891728			LG29_El21.1
GCF_018296145.1	Primary Assembly	LG30	22844504	43	CM031228.1	Linkage Group		NC_056458.1	assembled-molecule	52926507			LG30_El07.2
GCF_018296145.1	Primary Assembly	LG31	17944321	43.5	CM031229.1	Linkage Group		NC_056459.1	assembled-molecule	41055135			LG31_El10.2
GCF_018296145.1	Primary Assembly	LG32	7291475	43	CM031230.1	Linkage Group		NC_056460.1	assembled-molecule	16871153			LG32_El09.1
GCF_018296145.1	Primary Assembly	LG33	21842986	43.5	CM031231.1	Linkage Group		NC_056461.1	assembled-molecule	50232734			LG33_El14.2
GCF_018296145.1	Primary Assembly	LG34	6882227	43.5	CM031232.1	Linkage Group		NC_056462.1	assembled-molecule	15889890			LG34_El25.1
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000003.1	Chromosome		NW_024609577.1	unplaced-scaffold	229866			Un_scaffold_1828_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000009.1	Chromosome		NW_024609666.1	unplaced-scaffold	295561			Un_scaffold_18560_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000011.1	Chromosome		NW_024609604.1	unplaced-scaffold	249930			Un_scaffold_1874_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000016.1	Chromosome		NW_024609689.1	unplaced-scaffold	308005			Un_scaffold_1931_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000019.1	Chromosome		NW_024608670.1	unplaced-scaffold	73631			Un_scaffold_19404_pilon_pilon
