Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCF_901001165.1	Primary Assembly	1	34039182	43.5	LR584410.1	Chromosome		NC_042957.1	assembled-molecule	81542925			Super_scaffold_5
GCF_901001165.1	Primary Assembly	2	30635407	43	LR584445.1	Chromosome		NC_042958.1	assembled-molecule	75345318			Super_scaffold_40
GCF_901001165.1	Primary Assembly	3	31529705	43.5	LR584416.1	Chromosome		NC_042959.1	assembled-molecule	74753489			Super_scaffold_11
GCF_901001165.1	Primary Assembly	4	31020543	43	LR584420.1	Chromosome		NC_042960.1	assembled-molecule	73168960			Super_scaffold_15
GCF_901001165.1	Primary Assembly	5	28118674	43	LR584433.1	Chromosome		NC_042961.1	assembled-molecule	67763595			Super_scaffold_28
GCF_901001165.1	Primary Assembly	6	25186086	43.5	LR584406.1	Chromosome		NC_042962.1	assembled-molecule	60103141			Super_scaffold_1
GCF_901001165.1	Primary Assembly	7	25538248	43	LR584430.1	Chromosome		NC_042963.1	assembled-molecule	59837330			Super_scaffold_25
GCF_901001165.1	Primary Assembly	8	21586839	43.5	LR584407.1	Chromosome		NC_042964.1	assembled-molecule	51188276			Super_scaffold_2
GCF_901001165.1	Primary Assembly	9	20919115	43.5	LR584409.1	Chromosome		NC_042965.1	assembled-molecule	49359203			Super_scaffold_4
GCF_901001165.1	Primary Assembly	10	19696186	43	LR584419.1	Chromosome		NC_042966.1	assembled-molecule	46595448			Super_scaffold_14
GCF_901001165.1	Primary Assembly	11	9346865	43.5	LR584438.1	Chromosome		NC_042967.1	assembled-molecule	22956941			Super_scaffold_33
GCF_901001165.1	Primary Assembly	12	40761165	43.5	LR584441.1	Chromosome		NC_042968.1	assembled-molecule	97529106			Super_scaffold_36
GCF_901001165.1	Primary Assembly	13	38230431	43.5	LR584428.1	Chromosome		NC_042969.1	assembled-molecule	91488822			Super_scaffold_23
GCF_901001165.1	Primary Assembly	14	35922089	43	LR584411.1	Chromosome		NC_042970.1	assembled-molecule	86253525			Super_scaffold_6
GCF_901001165.1	Primary Assembly	15	28041407	43	LR584415.1	Chromosome		NC_042971.1	assembled-molecule	66900148			Super_scaffold_10
GCF_901001165.1	Primary Assembly	16	26049077	43	LR584431.1	Chromosome		NC_042972.1	assembled-molecule	61349433			Super_scaffold_26
GCF_901001165.1	Primary Assembly	17	25423918	43	LR584426.1	Chromosome		NC_042973.1	assembled-molecule	59764774			Super_scaffold_21
GCF_901001165.1	Primary Assembly	18	25002897	43	LR584435.1	Chromosome		NC_042974.1	assembled-molecule	59142494			Super_scaffold_30
GCF_901001165.1	Primary Assembly	19	23944085	43	LR584427.1	Chromosome		NC_042975.1	assembled-molecule	56583805			Super_scaffold_22
