Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCA_963921425.1	Primary Assembly	1	12293080	36.5	OY992832.1	Chromosome			assembled-molecule	33681925			SUPER_1
GCA_963921425.1	Primary Assembly	2	12041076	36.5	OY992833.1	Chromosome			assembled-molecule	33033793			SUPER_2
GCA_963921425.1	Primary Assembly	3	10329093	36.5	OY992834.1	Chromosome			assembled-molecule	28467151			SUPER_3
GCA_963921425.1	Primary Assembly	4	9760376	36.5	OY992835.1	Chromosome			assembled-molecule	26579288			SUPER_4
GCA_963921425.1	Primary Assembly	5	8344089	37	OY992836.1	Chromosome			assembled-molecule	22578703			SUPER_5
GCA_963921425.1	Primary Assembly	6	8009284	36.5	OY992837.1	Chromosome			assembled-molecule	21929824			SUPER_6
GCA_963921425.1	Primary Assembly	7	8038102	37	OY992838.1	Chromosome			assembled-molecule	21730711			SUPER_7
GCA_963921425.1	Primary Assembly	8	7759333	36.5	OY992839.1	Chromosome			assembled-molecule	21219003			SUPER_8
GCA_963921425.1	Primary Assembly	9	7316100	36.5	OY992840.1	Chromosome			assembled-molecule	20035207			SUPER_9
GCA_963921425.1	Primary Assembly	Un			CAWUFM010000001.1	Chromosome			unplaced-scaffold	2095			SCAFFOLD_9_1
GCA_963921425.1	Primary Assembly	Un			CAWUFM010000002.1	Chromosome			unplaced-scaffold	24740			SCAFFOLD_70
GCA_963921425.1	Primary Assembly	Un			CAWUFM010000003.1	Chromosome			unplaced-scaffold	13473			SCAFFOLD_81
GCA_963921425.1	Primary Assembly	Un			CAWUFM010000004.1	Chromosome			unplaced-scaffold	11407			SCAFFOLD_82
GCA_963921425.1	Primary Assembly	Un			CAWUFM010000005.1	Chromosome			unplaced-scaffold	23606			SCAFFOLD_73
GCA_963921425.1	Primary Assembly	Un			CAWUFM010000006.1	Chromosome			unplaced-scaffold	25609			SCAFFOLD_69
GCA_963921425.1	Primary Assembly	Un			CAWUFM010000007.1	Chromosome			unplaced-scaffold	15220			SCAFFOLD_80
GCA_963921425.1	Primary Assembly	Un			CAWUFM010000008.1	Chromosome			unplaced-scaffold	16453			SCAFFOLD_79
GCA_963921425.1	Primary Assembly	Un			CAWUFM010000009.1	Chromosome			unplaced-scaffold	22091			SCAFFOLD_74
GCA_963921425.1	Primary Assembly	Un			CAWUFM010000010.1	Chromosome			unplaced-scaffold	24522			SCAFFOLD_71
GCA_963921425.1	Primary Assembly	Un			CAWUFM010000011.1	Chromosome			unplaced-scaffold	19168			SCAFFOLD_77
GCA_963921425.1	Primary Assembly	Un			CAWUFM010000012.1	Chromosome			unplaced-scaffold	32658			SCAFFOLD_58
GCA_963921425.1	Primary Assembly	Un			CAWUFM010000013.1	Chromosome			unplaced-scaffold	21872			SCAFFOLD_75
GCA_963921425.1	Primary Assembly	Un			CAWUFM010000014.1	Chromosome			unplaced-scaffold	33372			SCAFFOLD_57
GCA_963921425.1	Primary Assembly	Un			CAWUFM010000015.1	Chromosome			unplaced-scaffold	16980			SCAFFOLD_78
GCA_963921425.1	Primary Assembly	Un			CAWUFM010000016.1	Chromosome			unplaced-scaffold	20430			SCAFFOLD_76
GCA_963921425.1	non-nuclear	MT1	110836	45.5	OY992841.1	Mitochondrion			assembled-molecule	244553			scaffold_MT_1
GCA_963921425.1	non-nuclear	MT2	47543	46.5	OY992842.1	Mitochondrion			assembled-molecule	102021			scaffold_MT_2
GCA_963921425.1	non-nuclear	Pltd	57705	36.5	OY992843.1	Chloroplast			assembled-molecule	158178			scaffold_Pltd_1
