Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCF_018345385.1	Primary Assembly	1	74317800	40	CM031295.1	Chromosome		NC_054824.1	assembled-molecule	185858810			chr1
GCF_018345385.1	Primary Assembly	2	75824096	42.5	CM031296.1	Chromosome		NC_054825.1	assembled-molecule	179392307			chr2
GCF_018345385.1	Primary Assembly	3	68849058	41.5	CM031297.1	Chromosome		NC_054826.1	assembled-molecule	165896947			chr3
GCF_018345385.1	Primary Assembly	4	62092693	41	CM031298.1	Chromosome		NC_054827.1	assembled-molecule	152262376			chr4
GCF_018345385.1	Primary Assembly	5	56691685	42.5	CM031299.1	Chromosome		NC_054828.1	assembled-molecule	133752869			chr5
GCF_018345385.1	Primary Assembly	6	52606925	39	CM031300.1	Chromosome		NC_054829.1	assembled-molecule	134369658			chr6
GCF_018345385.1	Primary Assembly	7	55519788	42	CM031301.1	Chromosome		NC_054830.1	assembled-molecule	131537142			chr7
GCF_018345385.1	Primary Assembly	8	57268789	42.5	CM031302.1	Chromosome		NC_054831.1	assembled-molecule	134802612			chr8
GCF_018345385.1	Primary Assembly	9	31874939	40	CM031303.1	Chromosome		NC_054832.1	assembled-molecule	79896057			chr9
GCF_018345385.1	Primary Assembly	10	50868683	43.5	CM031304.1	Chromosome		NC_054833.1	assembled-molecule	116667819			chr10
GCF_018345385.1	Primary Assembly	11	45724864	41.5	CM031305.1	Chromosome		NC_054834.1	assembled-molecule	110416569			chr11
GCF_018345385.1	Primary Assembly	12	37370095	44	CM031306.1	Chromosome		NC_054835.1	assembled-molecule	85158611			chr12
GCF_018345385.1	Primary Assembly	13	24126595	39	CM031307.1	Chromosome		NC_054836.1	assembled-molecule	61874436			chr13
GCF_018345385.1	Primary Assembly	14	16800615	45.5	CM031308.1	Chromosome		NC_054837.1	assembled-molecule	36869561			chr14
GCF_018345385.1	Primary Assembly	15	20017825	40.5	CM031309.1	Chromosome		NC_054838.1	assembled-molecule	49724982			chr15
GCF_018345385.1	Primary Assembly	16	23467161	38	CM031310.1	Chromosome		NC_054839.1	assembled-molecule	61660527			chr16
GCF_018345385.1	Primary Assembly	17	17650469	40.5	CM031311.1	Chromosome		NC_054840.1	assembled-molecule	43373092			chr17
GCF_018345385.1	Primary Assembly	18	21314495	44.5	CM031312.1	Chromosome		NC_054841.1	assembled-molecule	47776360			chr18
GCF_018345385.1	Primary Assembly	19	21503344	40	CM031313.1	Chromosome		NC_054842.1	assembled-molecule	53525694			chr19
GCF_018345385.1	Primary Assembly	20	15355513	40	CM031314.1	Chromosome		NC_054843.1	assembled-molecule	38527745			chr20
GCF_018345385.1	Primary Assembly	21	18410692	40.5	CM031315.1	Chromosome		NC_054844.1	assembled-molecule	45733283			chr21
GCF_018345385.1	Primary Assembly	22	12523326	40.5	CM031316.1	Chromosome		NC_054845.1	assembled-molecule	31001585			chr22
GCF_018345385.1	Primary Assembly	23	25721010	40.5	CM031317.1	Chromosome		NC_054846.1	assembled-molecule	63748409			chr23
GCF_018345385.1	Primary Assembly	24	23499093	40	CM031318.1	Chromosome		NC_054847.1	assembled-molecule	58817156			chr24
GCF_018345385.1	Primary Assembly	X	49613239	40.5	CM031319.1	Chromosome		NC_054848.1	assembled-molecule	123040549			chrX
GCF_018345385.1	Primary Assembly	Un			JADWOQ010000026.1	Chromosome		NW_024570772.1	unplaced-scaffold	20017			ctg377
GCF_018345385.1	Primary Assembly	Un			JADWOQ010000027.1	Chromosome		NW_024570678.1	unplaced-scaffold	37324			ctg246
GCF_018345385.1	Primary Assembly	Un			JADWOQ010000028.1	Chromosome		NW_024570720.1	unplaced-scaffold	34468			ctg300
GCF_018345385.1	Primary Assembly	Un			JADWOQ010000029.1	Chromosome		NW_024571064.1	unplaced-scaffold	12488			ctg774
GCF_018345385.1	Primary Assembly	Un			JADWOQ010000030.1	Chromosome		NW_024570563.1	unplaced-scaffold	6874			ctg1358
GCF_018345385.1	Primary Assembly	Un			JADWOQ010000031.1	Chromosome		NW_024570775.1	unplaced-scaffold	24818			ctg382
GCF_018345385.1	Primary Assembly	Un			JADWOQ010000032.1	Chromosome		NW_024571146.1	unplaced-scaffold	10156			ctg917
GCF_018345385.1	Primary Assembly	Un			JADWOQ010000033.1	Chromosome		NW_024570509.1	unplaced-scaffold	6837			ctg1288
