Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCA_030435755.1	Primary Assembly	1	75088435	43.5	CM059647.1	Chromosome		NC_080832.1	assembled-molecule	172484232			SUPER_1
GCA_030435755.1	Primary Assembly	2	75892094	45.5	CM059648.1	Chromosome		NC_080833.1	assembled-molecule	166922408			SUPER_2
GCA_030435755.1	Primary Assembly	3	50467688	41.5	CM059649.1	Chromosome		NC_080834.1	assembled-molecule	121990123			SUPER_3
GCA_030435755.1	Primary Assembly	4	49941346	44	CM059650.1	Chromosome		NC_080835.1	assembled-molecule	113894790			SUPER_4
GCA_030435755.1	Primary Assembly	5	45047276	41.5	CM059651.1	Chromosome		NC_080836.1	assembled-molecule	108359821			SUPER_5
GCA_030435755.1	Primary Assembly	6	38856831	44	CM059652.1	Chromosome		NC_080837.1	assembled-molecule	88549462			SUPER_6
GCA_030435755.1	Primary Assembly	7	35575059	40.5	CM059653.1	Chromosome		NC_080838.1	assembled-molecule	87485032			SUPER_7
GCA_030435755.1	Primary Assembly	8	35987153	43.5	CM059654.1	Chromosome		NC_080839.1	assembled-molecule	83052879			SUPER_8
GCA_030435755.1	Primary Assembly	9	33847714	41.5	CM059655.1	Chromosome		NC_080840.1	assembled-molecule	81548301			SUPER_9
GCA_030435755.1	Primary Assembly	10	33789724	43	CM059656.1	Chromosome		NC_080841.1	assembled-molecule	78426614			SUPER_10
GCA_030435755.1	Primary Assembly	11	30955522	42	CM059657.1	Chromosome		NC_080842.1	assembled-molecule	73962893			SUPER_11
GCA_030435755.1	Primary Assembly	12	29295213	41	CM059658.1	Chromosome		NC_080843.1	assembled-molecule	71253731			SUPER_12
GCA_030435755.1	Primary Assembly	13	30933187	44.5	CM059659.1	Chromosome		NC_080844.1	assembled-molecule	69303236			SUPER_13
GCA_030435755.1	Primary Assembly	14	28703782	44	CM059660.1	Chromosome		NC_080845.1	assembled-molecule	65340785			SUPER_14
GCA_030435755.1	Primary Assembly	15	25939930	44.5	CM059661.1	Chromosome		NC_080846.1	assembled-molecule	58492975			SUPER_15
GCA_030435755.1	Primary Assembly	16	27997476	48	CM059662.1	Chromosome		NC_080847.1	assembled-molecule	58268677			SUPER_16
GCA_030435755.1	Primary Assembly	17	26878938	48.5	CM059663.1	Chromosome		NC_080848.1	assembled-molecule	55625438			SUPER_17
GCA_030435755.1	Primary Assembly	18	22696400	42.5	CM059664.1	Chromosome		NC_080849.1	assembled-molecule	53301842			SUPER_18
GCA_030435755.1	Primary Assembly	19	22749361	44.5	CM059665.1	Chromosome		NC_080850.1	assembled-molecule	51035984			SUPER_19
GCA_030435755.1	Primary Assembly	20	18896608	43.5	CM059666.1	Chromosome		NC_080851.1	assembled-molecule	43452923			SUPER_20
GCA_030435755.1	Primary Assembly	21	19895343	46.5	CM059667.1	Chromosome		NC_080852.1	assembled-molecule	42977327			SUPER_21
GCA_030435755.1	Primary Assembly	22	19194721	47.5	CM059668.1	Chromosome		NC_080853.1	assembled-molecule	40580158			SUPER_22
GCA_030435755.1	Primary Assembly	23	16541897	42	CM059669.1	Chromosome		NC_080854.1	assembled-molecule	39250794			SUPER_23
GCA_030435755.1	Primary Assembly	24	18490028	48.5	CM059670.1	Chromosome		NC_080855.1	assembled-molecule	38047451			SUPER_24
GCA_030435755.1	Primary Assembly	25	14817456	43.5	CM059671.1	Chromosome		NC_080856.1	assembled-molecule	34228997			SUPER_25
GCA_030435755.1	Primary Assembly	26	14975137	46	CM059672.1	Chromosome		NC_080857.1	assembled-molecule	32464865			SUPER_26
GCA_030435755.1	Primary Assembly	27	12622945	45	CM059673.1	Chromosome		NC_080858.1	assembled-molecule	28022759			SUPER_27
GCA_030435755.1	Primary Assembly	28	11244523	43	CM059674.1	Chromosome		NC_080859.1	assembled-molecule	26227757			SUPER_28
GCA_030435755.1	Primary Assembly	29	12701161	50	CM059675.1	Chromosome		NC_080860.1	assembled-molecule	25448729			SUPER_29
GCA_030435755.1	Primary Assembly	30	9820937	44	CM059676.1	Chromosome		NC_080861.1	assembled-molecule	22204154			SUPER_30
GCA_030435755.1	Primary Assembly	31	7631451	45.5	CM059677.1	Chromosome		NC_080862.1	assembled-molecule	16862309			SUPER_31
GCA_030435755.1	Primary Assembly	32	6965084	44.5	CM059678.1	Chromosome		NC_080863.1	assembled-molecule	15668086			SUPER_32
GCA_030435755.1	Primary Assembly	33	4724640	58	CM059679.1	Chromosome		NC_080864.1	assembled-molecule	8116937			SUPER_33
GCA_030435755.1	Primary Assembly	X	44028367	41	CM059680.1	Chromosome		NC_080865.1	assembled-molecule	107801096			SUPER_X
GCA_030435755.1	Primary Assembly	Y	14500283	42	CM059681.1	Chromosome		NC_080866.1	assembled-molecule	34419860			SUPER_Y
GCA_030435755.1	Primary Assembly	Un			JAUDYK010000037.1	Chromosome		NW_026696054.1	unplaced-scaffold	49659			HAP1_SCAFFOLD_2361
GCA_030435755.1	Primary Assembly	Un			JAUDYK010000038.1	Chromosome		NW_026696055.1	unplaced-scaffold	73213			HAP1_SCAFFOLD_1229
GCA_030435755.1	Primary Assembly	Un			JAUDYK010000039.1	Chromosome		NW_026696056.1	unplaced-scaffold	26593			HAP1_SCAFFOLD_5312
GCA_030435755.1	Primary Assembly	Un			JAUDYK010000040.1	Chromosome		NW_026696057.1	unplaced-scaffold	35353			HAP1_SCAFFOLD_4011
GCA_030435755.1	Primary Assembly	Un			JAUDYK010000041.1	Chromosome		NW_026696058.1	unplaced-scaffold	72254			HAP1_SCAFFOLD_1255
