Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCA_965648395.1	Primary Assembly	1	11289797	33.5	OZ287372.1	Chromosome			assembled-molecule	33521204			SUPER_1
GCA_965648395.1	Primary Assembly	2	6259226	35	OZ287373.1	Chromosome			assembled-molecule	17958418		1	SUPER_2
GCA_965648395.1	Primary Assembly	3	7412594	35.5	OZ287374.1	Chromosome			assembled-molecule	20914375			SUPER_3
GCA_965648395.1	Primary Assembly	4	7037879	34	OZ287375.1	Chromosome			assembled-molecule	20815969			SUPER_4
GCA_965648395.1	Primary Assembly	5	6729854	34.5	OZ287376.1	Chromosome			assembled-molecule	19488070		1	SUPER_5
GCA_965648395.1	Primary Assembly	6	7149584	35	OZ287377.1	Chromosome			assembled-molecule	20443839			SUPER_6
GCA_965648395.1	Primary Assembly	7	6826375	34.5	OZ287378.1	Chromosome			assembled-molecule	19917349			SUPER_7
GCA_965648395.1	Primary Assembly	8	6915758	35	OZ287379.1	Chromosome			assembled-molecule	19850916			SUPER_8
GCA_965648395.1	Primary Assembly	9	6839055	34.5	OZ287380.1	Chromosome			assembled-molecule	19767257			SUPER_9
GCA_965648395.1	Primary Assembly	10	6424315	34.5	OZ287381.1	Chromosome			assembled-molecule	18495614			SUPER_10
GCA_965648395.1	Primary Assembly	11	6300383	34	OZ287382.1	Chromosome			assembled-molecule	18452530			SUPER_11
GCA_965648395.1	Primary Assembly	12	6298136	35	OZ287383.1	Chromosome			assembled-molecule	18012525			SUPER_12
GCA_965648395.1	Primary Assembly	13	6073324	34.5	OZ287384.1	Chromosome			assembled-molecule	17706327			SUPER_13
GCA_965648395.1	Primary Assembly	14	6034698	34.5	OZ287385.1	Chromosome			assembled-molecule	17523251			SUPER_14
GCA_965648395.1	Primary Assembly	15	5197925	34	OZ287386.1	Chromosome			assembled-molecule	15250905			SUPER_15
GCA_965648395.1	Primary Assembly	16	5093378	34.5	OZ287387.1	Chromosome			assembled-molecule	14674350			SUPER_16
GCA_965648395.1	Primary Assembly	17	5367416	37	OZ287388.1	Chromosome			assembled-molecule	14542729			SUPER_17
GCA_965648395.1	Primary Assembly	18	4502953	34	OZ287389.1	Chromosome			assembled-molecule	13161621			SUPER_18
GCA_965648395.1	Primary Assembly	19	3874470	34.5	OZ287390.1	Chromosome			assembled-molecule	11254017			SUPER_19
GCA_965648395.1	Primary Assembly	2			CBFGHM010000001.1	Chromosome			unlocalized-scaffold	3128000		1	SUPER_2_unloc_1
GCA_965648395.1	Primary Assembly	5			CBFGHM010000002.1	Chromosome			unlocalized-scaffold	1267000		1	SUPER_5_unloc_1
GCA_965648395.1	Primary Assembly	Un			CBFGHM010000003.1	Chromosome			unplaced-scaffold	4080000			HAP1_SCAFFOLD_21
