Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCF_021184085.1	Primary Assembly	LG01	53005250	43.5	CM037749.1	Linkage Group		NC_060173.1	assembled-molecule	121242117			1
GCF_021184085.1	Primary Assembly	LG02	49227183	43.5	CM037750.1	Linkage Group		NC_060174.1	assembled-molecule	112602575			2
GCF_021184085.1	Primary Assembly	LG03	47718485	44	CM037751.1	Linkage Group		NC_060175.1	assembled-molecule	109001000			3
GCF_021184085.1	Primary Assembly	LG04	38079433	44	CM037752.1	Linkage Group		NC_060176.1	assembled-molecule	86901846			4
GCF_021184085.1	Primary Assembly	LG05	43244010	44	CM037753.1	Linkage Group		NC_060177.1	assembled-molecule	97899794			5
GCF_021184085.1	Primary Assembly	LG06	46959986	43.5	CM037754.1	Linkage Group		NC_060178.1	assembled-molecule	107529014			6
GCF_021184085.1	Primary Assembly	LG07	39364940	44	CM037755.1	Linkage Group		NC_060179.1	assembled-molecule	89516582			7
GCF_021184085.1	Primary Assembly	LG08	34720515	43.5	CM037756.1	Linkage Group		NC_060180.1	assembled-molecule	79710677			8
GCF_021184085.1	Primary Assembly	LG09	44197378	44	CM037757.1	Linkage Group		NC_060181.1	assembled-molecule	100203093			9
GCF_021184085.1	Primary Assembly	LG10	44655487	44	CM037758.1	Linkage Group		NC_060182.1	assembled-molecule	101020560			10
GCF_021184085.1	Primary Assembly	LG11	38771708	44	CM037759.1	Linkage Group		NC_060183.1	assembled-molecule	88157483			11
GCF_021184085.1	Primary Assembly	LG12	37827671	44	CM037760.1	Linkage Group		NC_060184.1	assembled-molecule	86172198			12
GCF_021184085.1	Primary Assembly	LG13	45551138	44.5	CM037761.1	Linkage Group		NC_060185.1	assembled-molecule	102694786			13
GCF_021184085.1	Primary Assembly	LG14	37542753	44.5	CM037762.1	Linkage Group		NC_060186.1	assembled-molecule	84819153			14
GCF_021184085.1	Primary Assembly	LG15	37889837	44.5	CM037763.1	Linkage Group		NC_060187.1	assembled-molecule	85609528			15
GCF_021184085.1	Primary Assembly	LG16	44095223	44	CM037764.1	Linkage Group		NC_060188.1	assembled-molecule	100482852			16
GCF_021184085.1	Primary Assembly	LG17	25986937	44	CM037765.1	Linkage Group		NC_060189.1	assembled-molecule	59070424			17
GCF_021184085.1	Primary Assembly	LG18	36720850	44	CM037766.1	Linkage Group		NC_060190.1	assembled-molecule	83923786			18
GCF_021184085.1	Primary Assembly	LG19	36010270	44.5	CM037767.1	Linkage Group		NC_060191.1	assembled-molecule	80794599			19
GCF_021184085.1	Primary Assembly	LG20	20170490	44	CM037768.1	Linkage Group		NC_060192.1	assembled-molecule	45742288			20
GCF_021184085.1	Primary Assembly	LG21	26799356	44	CM037769.1	Linkage Group		NC_060193.1	assembled-molecule	60884844			21
GCF_021184085.1	Primary Assembly	LG22	23028048	44	CM037770.1	Linkage Group		NC_060194.1	assembled-molecule	52623370			22
GCF_021184085.1	Primary Assembly	LG23	32015015	44.5	CM037771.1	Linkage Group		NC_060195.1	assembled-molecule	72202100			23
GCF_021184085.1	Primary Assembly	LG24	29393674	44.5	CM037772.1	Linkage Group		NC_060196.1	assembled-molecule	66433064			24
GCF_021184085.1	Primary Assembly	LG25	22918191	44.5	CM037773.1	Linkage Group		NC_060197.1	assembled-molecule	51769365			25
GCF_021184085.1	Primary Assembly	LG26	19495015	44	CM037774.1	Linkage Group		NC_060198.1	assembled-molecule	44229230			26
GCF_021184085.1	Primary Assembly	LGY	1412007	43	CM037748.1	Linkage Group		NC_060199.1	assembled-molecule	3279969			Y
GCF_021184085.1	Primary Assembly	Un			JAGYUW010000002.1	Chromosome		NW_025744369.1	unplaced-scaffold	100000			Un_scaffold_1:::fragment_2:::debris
GCF_021184085.1	Primary Assembly	Un			JAGYUW010000004.1	Chromosome		NW_025744370.1	unplaced-scaffold	50000			Un_scaffold_1:::fragment_4:::debris
GCF_021184085.1	Primary Assembly	Un			JAGYUW010000007.1	Chromosome		NW_025744371.1	unplaced-scaffold	250000			Un_scaffold_10:::fragment_2:::debris
GCF_021184085.1	Primary Assembly	Un			JAGYUW010000009.1	Chromosome		NW_025744372.1	unplaced-scaffold	400000			Un_scaffold_10:::fragment_4:::debris
GCF_021184085.1	Primary Assembly	Un			JAGYUW010000013.1	Chromosome		NW_025744373.1	unplaced-scaffold	11770			Un_scaffold_10003
GCF_021184085.1	Primary Assembly	Un			JAGYUW010000014.1	Chromosome		NW_025744374.1	unplaced-scaffold	11766			Un_scaffold_10005
GCF_021184085.1	Primary Assembly	Un			JAGYUW010000017.1	Chromosome		NW_025744375.1	unplaced-scaffold	11758			Un_scaffold_10009
GCF_021184085.1	Primary Assembly	Un			JAGYUW010000023.1	Chromosome		NW_025744376.1	unplaced-scaffold	11714			Un_scaffold_10035
GCF_021184085.1	Primary Assembly	Un			JAGYUW010000025.1	Chromosome		NW_025744377.1	unplaced-scaffold	11704			Un_scaffold_10044
GCF_021184085.1	Primary Assembly	Un			JAGYUW010000027.1	Chromosome		NW_025744378.1	unplaced-scaffold	11684			Un_scaffold_10057
GCF_021184085.1	Primary Assembly	Un			JAGYUW010000028.1	Chromosome		NW_025744379.1	unplaced-scaffold	11682			Un_scaffold_10059
GCF_021184085.1	Primary Assembly	Un			JAGYUW010000029.1	Chromosome		NW_025744380.1	unplaced-scaffold	11680			Un_scaffold_10061
GCF_021184085.1	Primary Assembly	Un			JAGYUW010000030.1	Chromosome		NW_025744381.1	unplaced-scaffold	11677			Un_scaffold_10066
GCF_021184085.1	Primary Assembly	Un			JAGYUW010000033.1	Chromosome		NW_025744382.1	unplaced-scaffold	11657			Un_scaffold_10078
GCF_021184085.1	Primary Assembly	Un			JAGYUW010000041.1	Chromosome		NW_025744383.1	unplaced-scaffold	11584			Un_scaffold_10125
GCF_021184085.1	Primary Assembly	Un			JAGYUW010000042.1	Chromosome		NW_025744384.1	unplaced-scaffold	11582			Un_scaffold_10130
GCF_021184085.1	Primary Assembly	Un			JAGYUW010000046.1	Chromosome		NW_025744385.1	unplaced-scaffold	11567			Un_scaffold_10148
GCF_021184085.1	Primary Assembly	Un			JAGYUW010000048.1	Chromosome		NW_025744386.1	unplaced-scaffold	11552			Un_scaffold_10157
GCF_021184085.1	Primary Assembly	Un			JAGYUW010000054.1	Chromosome		NW_025744387.1	unplaced-scaffold	11517			Un_scaffold_10177
GCF_021184085.1	Primary Assembly	Un			JAGYUW010000063.1	Chromosome		NW_025744388.1	unplaced-scaffold	11448			Un_scaffold_10212
GCF_021184085.1	Primary Assembly	Un			JAGYUW010000066.1	Chromosome		NW_025744389.1	unplaced-scaffold	11443			Un_scaffold_10220
GCF_021184085.1	Primary Assembly	Un			JAGYUW010000069.1	Chromosome		NW_025744390.1	unplaced-scaffold	11423			Un_scaffold_10240
GCF_021184085.1	Primary Assembly	Un			JAGYUW010000071.1	Chromosome		NW_025744391.1	unplaced-scaffold	11407			Un_scaffold_10247
GCF_021184085.1	Primary Assembly	Un			JAGYUW010000072.1	Chromosome		NW_025744392.1	unplaced-scaffold	11389			Un_scaffold_10258
GCF_021184085.1	Primary Assembly	Un			JAGYUW010000074.1	Chromosome		NW_025744393.1	unplaced-scaffold	11375			Un_scaffold_10267
GCF_021184085.1	Primary Assembly	Un			JAGYUW010000078.1	Chromosome		NW_025744394.1	unplaced-scaffold	11354			Un_scaffold_10281
GCF_021184085.1	Primary Assembly	Un			JAGYUW010000079.1	Chromosome		NW_025744395.1	unplaced-scaffold	11351			Un_scaffold_10286
GCF_021184085.1	Primary Assembly	Un			JAGYUW010000083.1	Chromosome		NW_025744396.1	unplaced-scaffold	550000			Un_scaffold_103:::fragment_2:::debris
GCF_021184085.1	Primary Assembly	Un			JAGYUW010000085.1	Chromosome		NW_025744397.1	unplaced-scaffold	100000			Un_scaffold_103:::fragment_4:::debris
GCF_021184085.1	Primary Assembly	Un			JAGYUW010000097.1	Chromosome		NW_025744398.1	unplaced-scaffold	11254			Un_scaffold_10351
GCF_021184085.1	Primary Assembly	Un			JAGYUW010000104.1	Chromosome		NW_025744399.1	unplaced-scaffold	11177			Un_scaffold_10401
GCF_021184085.1	Primary Assembly	Un			JAGYUW010000108.1	Chromosome		NW_025744400.1	unplaced-scaffold	11141			Un_scaffold_10426
