Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCA_047496905.1	Primary Assembly	1	88109236	40.5	CM105104.1	Chromosome			assembled-molecule	218298824			chr1
GCA_047496905.1	Primary Assembly	2	89202916	41	CM105105.1	Chromosome			assembled-molecule	216752841			chr2
GCA_047496905.1	Primary Assembly	3	87084511	40.5	CM105106.1	Chromosome			assembled-molecule	214516720			chr3
GCA_047496905.1	Primary Assembly	4	74697426	41	CM105107.1	Chromosome			assembled-molecule	182516132			chr4
GCA_047496905.1	Primary Assembly	5	72238168	39.5	CM105108.1	Chromosome			assembled-molecule	181939300			chr5
GCA_047496905.1	Primary Assembly	6	68027211	39.5	CM105109.1	Chromosome			assembled-molecule	172214838			chr6
GCA_047496905.1	Primary Assembly	7	64903523	39	CM105110.1	Chromosome			assembled-molecule	166459957			chr7
GCA_047496905.1	Primary Assembly	8	63073628	38	CM105111.1	Chromosome			assembled-molecule	166135456			chr8
GCA_047496905.1	Primary Assembly	9	64991342	40	CM105112.1	Chromosome			assembled-molecule	163365121			chr9
GCA_047496905.1	Primary Assembly	10	59327734	40.5	CM105113.1	Chromosome			assembled-molecule	145801590			chr10
GCA_047496905.1	Primary Assembly	11	54573171	38	CM105114.1	Chromosome			assembled-molecule	143174680			chr11
GCA_047496905.1	Primary Assembly	12	53473068	38.5	CM105115.1	Chromosome			assembled-molecule	138988185			chr12
GCA_047496905.1	Primary Assembly	13	44416734	40.5	CM105116.1	Chromosome			assembled-molecule	109468607			chr13
GCA_047496905.1	Primary Assembly	14	40445703	41	CM105117.1	Chromosome			assembled-molecule	98344155			chr14
GCA_047496905.1	Primary Assembly	15	31254020	41	CM105118.1	Chromosome			assembled-molecule	76711660			chr15
GCA_047496905.1	Primary Assembly	16	29912565	45	CM105119.1	Chromosome			assembled-molecule	66755990			chr16
GCA_047496905.1	Primary Assembly	17	27258240	43.5	CM105120.1	Chromosome			assembled-molecule	62751921			chr17
GCA_047496905.1	Primary Assembly	18	20592916	48	CM105121.1	Chromosome			assembled-molecule	42786830			chr18
GCA_047496905.1	Primary Assembly	19	15231554	44	CM105122.1	Chromosome			assembled-molecule	34808326			chr19
