Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000001.1	Chromosome			unplaced-scaffold	12274854			1
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000002.1	Chromosome			unplaced-scaffold	15734893			2
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000003.1	Chromosome			unplaced-scaffold	16558			3
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000004.1	Chromosome			unplaced-scaffold	16321974			4
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000005.1	Chromosome			unplaced-scaffold	22634			5
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000006.1	Chromosome			unplaced-scaffold	14481342			6
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000007.1	Chromosome			unplaced-scaffold	15424923			7
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000008.1	Chromosome			unplaced-scaffold	8231			8
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000009.1	Chromosome			unplaced-scaffold	19977900			9
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000010.1	Chromosome			unplaced-scaffold	12350006			10
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000011.1	Chromosome			unplaced-scaffold	5153			11
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000012.1	Chromosome			unplaced-scaffold	5153			12
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000013.1	Chromosome			unplaced-scaffold	5153			13
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000014.1	Chromosome			unplaced-scaffold	5153			14
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000015.1	Chromosome			unplaced-scaffold	5152			15
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000016.1	Chromosome			unplaced-scaffold	5151			16
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000017.1	Chromosome			unplaced-scaffold	5150			17
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000018.1	Chromosome			unplaced-scaffold	5150			18
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000019.1	Chromosome			unplaced-scaffold	5149			19
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000020.1	Chromosome			unplaced-scaffold	5149			20
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000021.1	Chromosome			unplaced-scaffold	5148			21
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000022.1	Chromosome			unplaced-scaffold	5148			22
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000023.1	Chromosome			unplaced-scaffold	5148			23
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000024.1	Chromosome			unplaced-scaffold	5147			24
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000025.1	Chromosome			unplaced-scaffold	5147			25
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000026.1	Chromosome			unplaced-scaffold	5147			26
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000027.1	Chromosome			unplaced-scaffold	23382			27
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000028.1	Chromosome			unplaced-scaffold	5146			28
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000029.1	Chromosome			unplaced-scaffold	5146			29
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000030.1	Chromosome			unplaced-scaffold	5146			30
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000031.1	Chromosome			unplaced-scaffold	5145			31
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000032.1	Chromosome			unplaced-scaffold	5145			32
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000033.1	Chromosome			unplaced-scaffold	5145			33
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000034.1	Chromosome			unplaced-scaffold	5144			34
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000035.1	Chromosome			unplaced-scaffold	5143			35
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000036.1	Chromosome			unplaced-scaffold	5143			36
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000037.1	Chromosome			unplaced-scaffold	5143			37
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000038.1	Chromosome			unplaced-scaffold	5143			38
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000039.1	Chromosome			unplaced-scaffold	5143			39
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000040.1	Chromosome			unplaced-scaffold	5143			40
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000041.1	Chromosome			unplaced-scaffold	5137			41
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000042.1	Chromosome			unplaced-scaffold	5136			42
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000043.1	Chromosome			unplaced-scaffold	5136			43
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000044.1	Chromosome			unplaced-scaffold	5134			44
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000045.1	Chromosome			unplaced-scaffold	5132			45
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000046.1	Chromosome			unplaced-scaffold	5132			46
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000047.1	Chromosome			unplaced-scaffold	5130			47
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000048.1	Chromosome			unplaced-scaffold	5129			48
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000049.1	Chromosome			unplaced-scaffold	5128			49
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000050.1	Chromosome			unplaced-scaffold	5127			50
GCA_028570905.1	Primary Assembly	Un			JAOTRM010000051.1	Chromosome			unplaced-scaffold	5126			51
