Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCF_023373465.1	Primary Assembly	1	44621453	44.5	CM041650.1	Chromosome		NC_068421.1	assembled-molecule	100781491			1
GCF_023373465.1	Primary Assembly	2	35324764	43	CM041651.1	Chromosome		NC_068422.1	assembled-molecule	81752364			2
GCF_023373465.1	Primary Assembly	3	15413229	44	CM041652.1	Chromosome		NC_068423.1	assembled-molecule	35172482			3
GCF_023373465.1	Primary Assembly	4	38494265	44	CM041653.1	Chromosome		NC_068424.1	assembled-molecule	87941717			4
GCF_023373465.1	Primary Assembly	5	17276898	44	CM041654.1	Chromosome		NC_068425.1	assembled-molecule	39289791			5
GCF_023373465.1	Primary Assembly	6	19405586	44	CM041655.1	Chromosome		NC_068426.1	assembled-molecule	44339290			6
GCF_023373465.1	Primary Assembly	7	24618583	43.5	CM041656.1	Chromosome		NC_068427.1	assembled-molecule	56597874			7
GCF_023373465.1	Primary Assembly	8	22398548	43.5	CM041657.1	Chromosome		NC_068428.1	assembled-molecule	51230196			8
GCF_023373465.1	Primary Assembly	9	20192100	43.5	CM041658.1	Chromosome		NC_068429.1	assembled-molecule	46184008			9
GCF_023373465.1	Primary Assembly	10	36401058	43.5	CM041659.1	Chromosome		NC_068430.1	assembled-molecule	83638433			10
GCF_023373465.1	Primary Assembly	11	23870888	43.5	CM041660.1	Chromosome		NC_068431.1	assembled-molecule	54879299			11
GCF_023373465.1	Primary Assembly	12	24743758	43.5	CM041661.1	Chromosome		NC_068432.1	assembled-molecule	57025583			12
GCF_023373465.1	Primary Assembly	13	22767430	44	CM041662.1	Chromosome		NC_068433.1	assembled-molecule	51735353			13
GCF_023373465.1	Primary Assembly	14	33531085	43.5	CM041663.1	Chromosome		NC_068434.1	assembled-molecule	77100154			14
GCF_023373465.1	Primary Assembly	15	20277152	43.5	CM041664.1	Chromosome		NC_068435.1	assembled-molecule	46640956			15
GCF_023373465.1	Primary Assembly	16	9703777	44	CM041665.1	Chromosome		NC_068436.1	assembled-molecule	22159535			16
GCF_023373465.1	Primary Assembly	17	27310766	43.5	CM041666.1	Chromosome		NC_068437.1	assembled-molecule	62744259			17
GCF_023373465.1	Primary Assembly	18	25736257	44.5	CM041667.1	Chromosome		NC_068438.1	assembled-molecule	58079796			18
GCF_023373465.1	Primary Assembly	19	38415295	44	CM041668.1	Chromosome		NC_068439.1	assembled-molecule	87711413			19
GCF_023373465.1	Primary Assembly	20	21379922	44	CM041669.1	Chromosome		NC_068440.1	assembled-molecule	48384908			20
GCF_023373465.1	Primary Assembly	21	26094869	43.5	CM041670.1	Chromosome		NC_068441.1	assembled-molecule	59991537			21
GCF_023373465.1	Primary Assembly	22	25470324	43.5	CM041671.1	Chromosome		NC_068442.1	assembled-molecule	58500653			22
GCF_023373465.1	Primary Assembly	23	21293410	43.5	CM041672.1	Chromosome		NC_068443.1	assembled-molecule	49035537			23
GCF_023373465.1	Primary Assembly	24	21438654	43.5	CM041673.1	Chromosome		NC_068444.1	assembled-molecule	49154649			24
GCF_023373465.1	Primary Assembly	25	22350672	44	CM041674.1	Chromosome		NC_068445.1	assembled-molecule	51073702			25
GCF_023373465.1	Primary Assembly	26	20604754	43.5	CM041675.1	Chromosome		NC_068446.1	assembled-molecule	47266180			26
GCF_023373465.1	Primary Assembly	27	21961895	44	CM041676.1	Chromosome		NC_068447.1	assembled-molecule	49749584			27
