Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCA_040938815.1	Primary Assembly	1	78416066	39	CM081924.1	Chromosome			assembled-molecule	202286568			HiC_scaffold_2
GCA_040938815.1	Primary Assembly	2	87905867	41	CM081925.1	Chromosome			assembled-molecule	216772412			HiC_scaffold_1
GCA_040938815.1	Primary Assembly	3	76521785	39.5	CM081926.1	Chromosome			assembled-molecule	194718364			HiC_scaffold_3
GCA_040938815.1	Primary Assembly	4	78686934	42	CM081927.1	Chromosome			assembled-molecule	189801203			HiC_scaffold_4
GCA_040938815.1	Primary Assembly	5	61502044	40.5	CM081928.1	Chromosome			assembled-molecule	154057969			HiC_scaffold_5
GCA_040938815.1	Primary Assembly	6	58975148	40	CM081929.1	Chromosome			assembled-molecule	147683252			HiC_scaffold_6
GCA_040938815.1	Primary Assembly	7	59767807	42	CM081930.1	Chromosome			assembled-molecule	143641668			HiC_scaffold_7
GCA_040938815.1	Primary Assembly	8	59019064	43	CM081931.1	Chromosome			assembled-molecule	137878594			HiC_scaffold_9
GCA_040938815.1	Primary Assembly	9	56939649	41.5	CM081932.1	Chromosome			assembled-molecule	138955261			HiC_scaffold_8
GCA_040938815.1	Primary Assembly	10	47087283	43	CM081933.1	Chromosome			assembled-molecule	111181584			HiC_scaffold_10
GCA_040938815.1	Primary Assembly	11	42204517	40.5	CM081934.1	Chromosome			assembled-molecule	104468085			HiC_scaffold_11
GCA_040938815.1	Primary Assembly	12	36980183	43.5	CM081935.1	Chromosome			assembled-molecule	85782648			HiC_scaffold_14
GCA_040938815.1	Primary Assembly	13	39460296	43	CM081936.1	Chromosome			assembled-molecule	92415532			HiC_scaffold_12
GCA_040938815.1	Primary Assembly	14	37963000	43	CM081937.1	Chromosome			assembled-molecule	89806966			HiC_scaffold_13
GCA_040938815.1	Primary Assembly	15	27574440	47.5	CM081938.1	Chromosome			assembled-molecule	59263546			HiC_scaffold_16
GCA_040938815.1	Primary Assembly	16	28621792	43	CM081939.1	Chromosome			assembled-molecule	67353800			HiC_scaffold_15
